SampleID,Condition,Dose,0h,1h,2h,3h,4.5h,6h,7.5h,9h,10h
Ctrl-1,1g,0,0.037133332,0.022166665,0.022233333,0.032799997,0.055199999,0.079699996,0.10318333,0.109399993,0.107466672
Ctrl-2,1g,0,0.036533334,0.019300001,0.017683335,0.035283335,0.052158337,0.071116671,0.10191667,0.107566672,0.105200003
Ctrl-3,1g,0,0.035483333,0.022316667,0.020733334,0.037483331,0.053874997,0.06467222,0.088688886,0.106799998,0.103299999
Ctrl+SR6.5-1,1g,6.5,0.03835,0.016416668,0.021216665,0.033283332,0.085716662,0.112683333,0.139383331,0.134683338,0.129516668
Ctrl+SR6.5-2,1g,6.5,0.036616667,0.016716667,0.022316666,0.033816667,0.088750002,0.120983329,0.138383334,0.122116666,0.110883333
Ctrl+SR6.5-3,1g,6.5,0.037716666,0.016916667,0.020350001,0.036816666,0.083749996,0.116583334,0.137749999,0.127583332,0.108516665
Ctrl+SR13-1,1g,13,0.034300001,0.019200002,0.020533335,0.035699998,0.0918,0.126633334,0.144966666,0.144033333,0.137166663
Ctrl+SR13-2,1g,13,0.034533333,0.018466669,0.020499999,0.035466668,0.090866667,0.1289,0.138133332,0.140316669,0.13781667
Ctrl+SR13-3,1g,13,0.033933333,0.018966668,0.023600002,0.039066667,0.092733332,0.127133331,0.139633333,0.141866664,0.135466666
Ctrl+SR19.5-1,1g,19.5,0.036916665,0.014866666,0.016766666,0.029216666,0.069616665,0.107866665,0.130966663,0.138166662,0.137549998
Ctrl+SR19.5-2,1g,19.5,0.037266667,0.018066668,0.022616666,0.036166665,0.075716666,0.106216672,0.140316666,0.138716664,0.132616665
Ctrl+SR19.5-3,1g,19.5,0.036766666,0.016116666,0.019516666,0.034466666,0.077866665,0.11006667,0.135666671,0.137216665,0.130483335
SMG-1,SMG,0,0.036983329,0.022766663,0.021933332,0.039583332,0.067366667,0.094533332,0.129666662,0.139833333,0.139883331
SMG-2,SMG,0,0.034499999,0.019144443,0.016466665,0.0306,0.056733331,0.091783334,0.129866669,0.139866671,0.13993334
SMG-3,SMG,0,0.036133332,0.0212,0.018733334,0.033999998,0.059533334,0.09198333,0.123433335,0.140099995,0.140383332
SMG+SR6.5-1,SMG,6.5,0.036983333,0.015316666,0.020749999,0.031149998,0.07865,0.108483332,0.134850002,0.135449997,0.125149992
SMG+SR6.5-2,SMG,6.5,0.036883331,0.015849999,0.018649999,0.032349996,0.075449999,0.110283329,0.131649998,0.141549996,0.130483331
SMG+SR6.5-3,SMG,6.5,0.036583334,0.015116666,0.021383333,0.034749997,0.076416666,0.107149999,0.132849995,0.137816669,0.126183333
SMG+SR13-1,SMG,13,0.031733333,0.015,0.0213,0.0316,0.080416668,0.123216666,0.136266661,0.13906667,0.137766668
SMG+SR13-2,SMG,13,0.032933333,0.016816665,0.023999998,0.035533333,0.083166668,0.119966665,0.138833334,0.136433335,0.135099997
SMG+SR13-3,SMG,13,0.034899999,0.016100001,0.021133333,0.033700001,0.081433332,0.121166667,0.135833337,0.134266665,0.131999998
SMG+SR19.5-1,SMG,19.5,0.029366665,0.014766666,0.017716665,0.030716666,0.070116666,0.110699996,0.127066664,0.127316669,0.126283333
SMG+SR19.5-2,SMG,19.5,0.037916669,0.013666668,0.017116666,0.027516664,0.06701667,0.106600001,0.134966663,0.135966671,0.132616665
SMG+SR19.5-3,SMG,19.5,0.036416667,0.015266665,0.022516665,0.031266668,0.065166666,0.081416667,0.132466664,0.132666665,0.131549994
