SampleID,Condition,Dose,Rate_1h,Rate_2h,Rate_3h
Ctrl-1,1g,0.0,0.093018970189702,0.253802889787692,0.570406066963896
Ctrl-2,1g,0.0,0.098032407407407,0.207564890710383,0.503419612794613
Ctrl-3,1g,0.0,0.079946488294314,0.266229007633588,0.543540983606557
SMG-1,SMG,0.0,0.140680215975748,0.256535839565822,0.629099557706751
SMG-2,SMG,0.0,0.103454773869347,0.298326771653543,0.675657894736842
SMG-3,SMG,0.0,0.073832155746455,0.235883011221003,0.604742345033608
Ctrl+SR6.5-1,1g,6.5,0.109243697478991,0.353781512605042,0.540653347431688
Ctrl+SR6.5-2,1g,6.5,0.125797862639968,0.29954954954955,0.524392316845147
Ctrl+SR6.5-3,1g,6.5,0.100069454090846,0.330398192160835,0.569607240402737
SMG+SR6.5-1,SMG,6.5,0.149642442984152,0.393724696356275,0.65785615729562
SMG+SR6.5-2,SMG,6.5,0.162442396313364,0.435378176129878,0.607410949772483
SMG+SR6.5-3,SMG,6.5,0.134726322961617,0.439422717648524,0.612346336484267
Ctrl+SR13-1,1g,13.0,0.12130302518168,0.443561129764962,0.646532760697638
Ctrl+SR13-2,1g,13.0,0.12522696486728,0.449362716313772,0.615927601809955
Ctrl+SR13-3,1g,13.0,0.14881913303438,0.446235011990408,0.627127761767532
SMG+SR13-1,SMG,13.0,0.138148595512837,0.481221556886228,0.616715474161167
SMG+SR13-2,SMG,13.0,0.152787464546427,0.496490635438952,0.59572034114703
SMG+SR13-3,SMG,13.0,0.146238983398237,0.51816100802204,0.61918742203295
Ctrl+SR19.5-1,1g,19.5,0.095301720261572,0.297993667161712,0.583191692781643
Ctrl+SR19.5-2,1g,19.5,0.111972411267434,0.320551304274299,0.564831634701799
Ctrl+SR19.5-3,1g,19.5,0.106560331621158,0.293108351502512,0.609029467423628
SMG+SR19.5-1,SMG,19.5,0.122141552908443,0.314736499674691,0.597495120364346
SMG+SR19.5-2,SMG,19.5,0.114492301290054,0.309128052743987,0.575610374250232
SMG+SR19.5-3,SMG,19.5,0.136750730242317,0.336582568807339,0.621549529159762
