"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1639.61184831573,0.049196487245638,0.136568698097118,0.589688626256666,0.885264110543466
"HC660_RS00010",1598.96633610656,0.0840559305732229,0.171121669081183,0.356172574832824,0.778944359619429
"HC660_RS00015",118.866439981849,-0.0501047826879577,0.176212795775917,0.484020583433089,0.837935889207045
"HC660_RS00020",1203.01709910114,-0.0929592108246527,0.193357641030677,0.231078155489742,0.681121498641134
"HC660_RS00025",296.432753080674,-0.040464468526571,0.175105913588083,0.566051024995959,0.876195445785169
"HC660_RS00030",4278.19493518411,0.064728191600635,0.161105123742192,0.47683555732847,0.837935889207045
"HC660_RS00035",6081.05245740267,0.0841126582335824,0.163576796483957,0.384137017871883,0.797739091091894
"HC660_RS00040",32.5731926623268,-0.0498321656014572,0.182463639507866,0.417504205296919,0.815133935337518
"HC660_RS00045",1.40237787378136,0.0159211336183723,0.185471711753997,0.352925987307312,NA
"HC660_RS00055",24.5681878146366,-0.0316172112639816,0.183060502300213,0.486293105194299,NA
"HC660_RS00065",25.4772898643106,-0.0165954361973315,0.180786783448009,0.702214099987702,NA
"HC660_RS00070",2836.25940280255,0.112234936184234,0.18134595191755,0.247717853628409,0.701571630793797
"HC660_RS00075",1727.10776974179,-0.0340224077633723,0.169681682435873,0.647553447233355,0.902262482275818
"HC660_RS00080",2051.85490096225,0.0944950604028309,0.159506014048157,0.33568452682771,0.766092259395307
"HC660_RS00085",3622.07438206789,0.153180532103049,0.172981203245806,0.166064755428288,0.597261186804815
"HC660_RS00090",978.246472659268,0.0521824890949131,0.168260059213604,0.527226780323166,0.858836270565424
"HC660_RS00095",8.9832439801683,-0.0318146078696467,0.183089499539519,0.485703978119996,NA
"HC660_RS00100",211.532531829433,0.0445904020824879,0.171119997904979,0.561053536900672,0.875723285087806
"HC660_RS00105",97.7358789281593,-0.0198692685893841,0.169637499215438,0.781783628432999,0.946264611826401
"HC660_RS00110",468.179740896906,0.0257500515385765,0.177112367979452,0.661522350783968,0.906729753241648
"HC660_RS00115",153.414768979378,0.000891519119497281,0.177815894825158,0.99611031439113,0.998611175920422
"HC660_RS00120",6.66674564563378,-0.0393803256573329,0.185419438151625,0.380427652053596,NA
"HC660_RS00125",13349.789117405,0.00278213506952618,0.182766047619567,0.941375891415652,0.989146593817061
"HC660_RS00130",797.937878384644,0.0150687790656374,0.143488601774924,0.925143409729784,0.987905101251527
"HC660_RS00135",458.618251474582,0.0392203878887481,0.15249427459501,0.66216572402798,0.906729753241648
"HC660_RS00140",470.836718176661,0.0786895012854547,0.156273620191293,0.413730601383701,0.813926277972636
"HC660_RS00145",235.668007405384,-0.043720241346,0.173301753604348,0.537257890832249,0.865532822475756
"HC660_RS00150",33.8856137634876,0.0150457591991927,0.166726470872708,0.843571957665955,0.959900757530463
"HC660_RS00155",71.9165776644868,-0.0543259643748282,0.187798412425889,0.320216264201152,0.761591724972086
"HC660_RS00170",10.4468165977064,-0.00803639556790639,0.179074142200905,0.866679084707457,NA
"HC660_RS00180",3.72312140932185,-0.0246534578910351,0.184964770211983,0.423939214555961,NA
"HC660_RS00185",242.298742024768,0.0715951854997204,0.176563835911425,0.38936085322346,0.800836969629555
"HC660_RS00190",732.115744001421,0.248158169040062,0.224127222873257,0.0505453769490293,0.394758299280198
"HC660_RS00195",547.934579422618,0.0358633345663458,0.161877165386018,0.668230128182133,0.906869089592777
"HC660_RS00200",295.467656713462,0.0397384673981854,0.163916293376412,0.6252431666948,0.893531541281381
"HC660_RS00205",302.854809782505,0.118538291760941,0.190068769681391,0.215900511689996,0.666280166435248
"HC660_RS00210",663.922762902973,0.300045282775929,0.265798222884093,0.0319606527004854,0.334616573888218
"HC660_RS00215",1070.45118718545,0.147872972463949,0.209369435175521,0.142282401209463,0.566076487488661
"HC660_RS00220",1050.1023181774,0.126848320711047,0.18120247258263,0.224186544011828,0.669254596297505
"HC660_RS00225",759.138412115853,0.228438810448569,0.22505641329449,0.0700690189884336,0.445063786998011
"HC660_RS00230",149.047163152955,0.0423559085956801,0.164685152158806,0.608271151645031,0.891853455167027
"HC660_RS00235",43.450305424617,0.0825911915174629,0.189016344815481,0.281221955247453,0.715659701604485
"HC660_RS00240",297.530771284298,0.0368726312981819,0.153401747149675,0.68070177454764,0.907926502595897
"HC660_RS00245",2179.79601250482,-0.14836695944963,0.272888687302058,0.0164199026956744,0.247652345816489
"HC660_RS00250",2083.23334890025,0.0820999178571692,0.166417036626492,0.375828989635635,0.791197949051065
"HC660_RS00255",430.724381973439,0.0869599361372479,0.168475514778852,0.354301431945891,0.77847003899346
"HC660_RS00260",432.888875859872,-0.0999731556151959,0.195932882292508,0.220821270260905,0.666945055742598
"HC660_RS00265",74.9299136660585,-0.0505568774324002,0.172903501361709,0.507788277881711,0.846909597337519
"HC660_RS00270",344.145522775217,-0.0652908741901843,0.173119002320834,0.431313360483071,0.823804610483911
"HC660_RS00275",14.8041625872829,0.0128875558683645,0.178988793333263,0.79036424238267,NA
"HC660_RS00280",2860.7026074867,-0.434160678406574,0.913623081631477,0.0121210494059811,0.20825429759182
"HC660_RS00285",64.0538417813037,-0.0563393091851688,0.185030215199795,0.361246477135971,0.781911374499098
"HC660_RS00290",466.816088162441,-0.136089522647329,0.174926247629772,0.19004427064787,0.63146528110724
"HC660_RS00295",1221.2781739262,0.0320214709758634,0.130295911616189,0.729792742313931,0.927068319672821
"HC660_RS00300",663.170566400589,0.0680675956915553,0.151561807869805,0.484683706467594,0.837935889207045
"HC660_RS00305",1362.6729211726,0.0450592802269786,0.179063303214529,0.490808282321374,0.838628362094074
"HC660_RS00310",1270.63430746923,0.0421703188652851,0.153602926609671,0.640012096948474,0.899276968513858
"HC660_RS00315",1393.28817068615,0.0409613604847342,0.159940553826925,0.667201301061145,0.906869089592777
"HC660_RS00320",12589.1322574404,0.000491319844616081,0.171806242458764,0.999606745984346,0.999771020100698
"HC660_RS00325",274.873648305635,0.0325384501151702,0.174659897125691,0.625851578327156,0.893549812025686
