"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1851.97716152126,0.232590282365769,0.199644486629888,0.0988108618528129,0.422518441040997
"HC660_RS00010",1672.66819261855,0.0481693304866393,0.208304049700724,0.679123094695408,0.887367477272363
"HC660_RS00015",106.331023338209,-0.11788584468699,0.260942332942326,0.214810736237799,0.588437944443617
"HC660_RS00020",1100.34837293307,-0.0838622869185725,0.23828685308607,0.382358007360382,0.728086532597844
"HC660_RS00025",264.950959100892,-0.0762403681982418,0.239046654086439,0.406693528801306,0.739414732595069
"HC660_RS00030",3812.72410378226,0.00193184880443093,0.208854187235207,0.992218472770366,0.997285665341266
"HC660_RS00035",5672.37643096597,0.044297434631463,0.202255735169013,0.731073961928003,0.905562671800919
"HC660_RS00040",29.5411648250525,-0.21529082051663,0.313329267882814,0.0982853775232878,NA
"HC660_RS00055",35.3681331040183,-0.0336931625321453,0.23266383906914,0.672952219880948,0.884995710073242
"HC660_RS00065",31.8355169356966,0.0325663385725894,0.231866687337649,0.691591439896535,NA
"HC660_RS00070",2489.06869934394,0.0392465691325981,0.216756206824987,0.754346636466384,0.915890453028409
"HC660_RS00075",2017.30020464876,0.00251927102585063,0.203723773738181,0.983600155822763,0.99575126576936
"HC660_RS00080",1692.09513211665,-0.131776339072194,0.218262417674032,0.304900039807337,0.662036630552255
"HC660_RS00085",3062.55514817102,-0.142251118526409,0.184863855890847,0.273733324974969,0.642044883757812
"HC660_RS00090",1017.71259500528,0.128326449265488,0.212974473681304,0.322333055707694,0.683799937862658
"HC660_RS00095",12.894351671055,0.00179571819462354,0.236098621524803,0.978612674854926,NA
"HC660_RS00100",253.749897681093,0.340584029349905,0.378639783713541,0.0458471036843667,0.289631680098756
"HC660_RS00105",100.85554627596,0.0576334680767293,0.199706347066243,0.629407517180061,0.865430239317151
"HC660_RS00110",438.668688670991,-0.0678849662453333,0.215415611434606,0.547267354184524,0.823270757466582
"HC660_RS00115",167.522107374668,-0.0675202400500254,0.206875219267451,0.567393755719829,0.831520476744742
"HC660_RS00120",9.38182217809548,0.067352161919687,0.244471532386276,0.377373824762421,NA
"HC660_RS00125",21188.4251570088,0.00668854473240298,0.240301928709857,0.900573326271331,0.972138730165011
"HC660_RS00130",771.938609410875,-0.0399744925465187,0.190439519026429,0.740638476036856,0.910847409247993
"HC660_RS00135",549.294203188165,0.272195769760787,0.197588654046061,0.0588328524540584,0.330291660260142
"HC660_RS00140",572.305823591011,0.258004690632522,0.250428070539913,0.0901987311398301,0.406651684054837
"HC660_RS00145",297.376120390644,0.0532133850618896,0.210651099375486,0.642124766767506,0.871874913333075
"HC660_RS00150",33.1330542712914,-0.0498505921270335,0.212056323968894,0.655667420040667,0.875945444131696
"HC660_RS00155",90.8661686232368,-0.135839895869129,0.255900229500484,0.230651478281156,0.598518291181241
"HC660_RS00170",14.7407876492023,0.0214291765207131,0.222649130693003,0.821604333101723,NA
"HC660_RS00180",4.39723239453596,-0.0152116632757681,0.24030935285664,0.755238479912598,NA
"HC660_RS00185",202.032393545838,-0.00658137848337848,0.209315240715665,0.948856058564876,0.98660145796912
"HC660_RS00190",583.854301702342,-0.0990388755933545,0.172387561110861,0.430782029449616,0.754271300857146
"HC660_RS00195",434.608402970769,-0.143834747636707,0.256703368850253,0.2179975248578,0.592413699698679
"HC660_RS00200",269.215487813312,-0.0917622994878009,0.223426185486059,0.421678346155678,0.748995667119366
"HC660_RS00205",290.407696609327,0.0671632749863647,0.200770185777678,0.580764508261938,0.839450608368822
"HC660_RS00210",587.060524650732,0.0228375820435652,0.189877741710079,0.851106641138873,0.955270965900074
"HC660_RS00215",917.588059752621,-0.0131385077221941,0.204703232994332,0.905889433591536,0.972837200823988
"HC660_RS00220",1031.91029252597,0.0586314639417085,0.179987217852746,0.641352044442215,0.871565847785486
"HC660_RS00225",799.475228921171,0.395533820812287,0.190482371769862,0.00812588168761533,0.112656002927362
"HC660_RS00230",150.015194585548,-0.106679358411016,0.220554387539998,0.380388310588708,0.728086532597844
"HC660_RS00235",40.3137172852925,0.00635326162851272,0.217545907402348,0.951276224082837,0.98660145796912
"HC660_RS00240",328.497286256416,-0.0408631825228833,0.196439380264217,0.731975278064723,0.905616915050011
"HC660_RS00245",3021.57520919144,0.00598019722911202,0.230339933259334,0.95127899768635,0.98660145796912
"HC660_RS00250",1982.10457862976,0.0648797279559025,0.200436353121642,0.592917415971582,0.848659652715648
"HC660_RS00255",393.950532928396,0.0324269153941547,0.168801916204961,0.791541930206424,0.933167294690067
"HC660_RS00260",487.461939787507,0.111330602848462,0.218584913905874,0.372770428148882,0.722793605803014
"HC660_RS00265",80.4868456502922,0.147534919592748,0.222667524597126,0.262539048367894,0.631333721360253
"HC660_RS00270",430.758582352724,0.138664811714341,0.23191644618583,0.274865825039051,0.643156863680465
"HC660_RS00275",16.4387255780258,0.167689368708715,0.274681791717771,0.163614224431124,NA
"HC660_RS00280",3364.11461012649,-0.0284220333300483,0.230445638318117,0.728741179438141,0.904178767776716
"HC660_RS00285",66.5712847316141,-0.0127000139200108,0.220065782433381,0.893342378849437,0.97006252975424
"HC660_RS00290",446.042142274558,-0.110757723179654,0.199704383351617,0.385157443361624,0.729550949484846
"HC660_RS00295",1253.07777756291,0.200782568872585,0.182656542974627,0.138568760696059,0.491228751903316
"HC660_RS00300",731.790806186662,0.450944397542255,0.218844200624286,0.00642447757348394,0.101454099044914
"HC660_RS00305",1563.04368517005,0.211412386414687,0.350325258519927,0.0586178890852679,0.329711669464374
"HC660_RS00310",1278.63641094835,-0.00424757268668141,0.211439176189041,0.963523021246931,0.993464902842942
"HC660_RS00315",1355.13731480805,-0.0354822829714968,0.219261651830436,0.726666963927818,0.90285737084482
"HC660_RS00320",17015.8423122912,0.0560372680119422,0.202223016981039,0.640935300590084,0.87145729830874
"HC660_RS00325",289.92063335239,0.194135217369195,0.231248507722247,0.165118730763556,0.524189407840976
"HC660_RS00330",153.935468151589,0.211432275284034,0.204248811640281,0.132721834319547,0.485494375216943
