"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1838.46000838786,0.0153385641573199,0.0858260402183922,0.533845077055438,0.957980943420615
"HC660_RS00010",1516.96988101181,0.0379113917619572,0.0933993693979802,0.205438379665465,0.911461869077324
"HC660_RS00015",192.998166170645,0.0284162896478284,0.0887709765526089,0.313674206889498,0.924392843411216
"HC660_RS00020",2474.97798921326,0.0115960705790666,0.0822013386649981,0.717520295887291,0.983486786269105
"HC660_RS00025",522.927845309472,0.0141693847513848,0.0839969135599836,0.604424671020515,0.969453103527946
"HC660_RS00030",6683.90520635158,0.034583788838258,0.090693040882048,0.244795355968989,0.916879793277615
"HC660_RS00035",9293.80700056475,0.0211276917662338,0.087144772812526,0.34638295499298,0.924392843411216
"HC660_RS00045",2.19246303207714,0.000376921154272157,0.0874502940089289,0.94991061007405,0.995852215959474
"HC660_RS00065",21.3340806856418,-0.0019184417782342,0.08697500279977,0.88073682201,0.987245764646155
"HC660_RS00070",4568.06528195921,0.0177353466635717,0.0878248044504409,0.3743692752731,0.924392843411216
"HC660_RS00075",1439.70820409311,0.738786152204681,0.420478934483962,0.00194334544042411,0.405187524328426
"HC660_RS00080",1820.1197517943,0.00181665021852897,0.0856895333891912,0.919030053196834,0.993410077663514
"HC660_RS00085",3469.41356639669,0.00410768932128735,0.0858714124416562,0.820518129655343,0.985512060002043
"HC660_RS00090",2261.87477872594,0.0034315543401673,0.0860083688416072,0.842935900633824,0.985512060002043
"HC660_RS00095",33.1116425392602,-0.00699577514945024,0.0872478383909884,0.546531891968745,0.958224894252422
"HC660_RS00100",425.58342621222,0.0328001668389791,0.0914453762483004,0.236021164823558,0.916879793277615
"HC660_RS00105",280.713004513324,0.00578998594570726,0.0832769745586981,0.828909787652461,0.985512060002043
"HC660_RS00110",116.523499098613,0.00613413254828201,0.0858099968579508,0.745237681269324,0.984973718275702
"HC660_RS00115",56.7293834631836,-0.0175267906478092,0.0883144220166989,0.323018230012634,0.924392843411216
"HC660_RS00120",9.37662885563916,-0.00146802278501565,0.0870651077004086,0.888886573906617,0.987245764646155
"HC660_RS00125",9443.59241128734,-0.00693008790038353,0.0876731683183429,0.378542129837662,0.924392843411216
"HC660_RS00130",688.179812477813,0.000851302118538426,0.0819428257285285,0.972661228007323,0.995852215959474
"HC660_RS00135",281.544000222317,0.0125970505957415,0.0859195065127523,0.567478719022903,0.958224894252422
"HC660_RS00140",603.345866769977,0.0312450356041708,0.0909123256688225,0.244399350314506,0.916879793277615
"HC660_RS00145",279.206095932046,0.0458305529028578,0.0983038045747598,0.139093174301889,0.909933146981762
"HC660_RS00150",25.1223343257655,0.0146280552927937,0.0883079291878256,0.297226443574226,0.924392843411216
