"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HC660_RS00005",1799.24981703161,0.420132951571679,0.347438582786024,0.0352925359956943,0.240263391175797
"HC660_RS00010",1504.08032631782,0.240506603776877,0.232447046674715,0.128380706525355,0.441167619217948
"HC660_RS00015",191.578424433865,0.23929364142254,0.253524146176844,0.136958516390495,0.459178182752646
"HC660_RS00020",2342.33391348578,0.346188810545016,0.224412267792967,0.0374711630661437,0.246567673007516
"HC660_RS00025",517.512434518121,0.343449077885565,0.281438885553261,0.0546231318257998,0.295623236249402
"HC660_RS00030",6457.67099786867,0.36065383431394,0.223212007333141,0.0301439219217657,0.21918654824076
"HC660_RS00035",9147.88494096422,0.449976690316297,0.277408665269085,0.0198727886979467,0.179110085860125
"HC660_RS00040",19.5815332112272,0.0689357233369134,0.287176445072003,NA,NA
"HC660_RS00065",20.6720166659649,-0.0531956349803808,0.264905679230293,0.548735720706336,0.820634023360556
"HC660_RS00070",4473.96936811894,0.0941063544638517,0.222809399828253,0.508297388728919,0.806847725288648
"HC660_RS00075",1798.75689614723,0.677264048291989,0.53161193335145,0.0118311504912077,0.132567894670134
"HC660_RS00080",1749.25140130171,0.128766046304449,0.235596298163586,0.369613001773964,0.710366688776682
"HC660_RS00085",3065.98749303263,0.0867329728669013,0.22590407785959,0.524185522228009,0.808697824972072
"HC660_RS00090",2345.44804946145,0.279206643107602,0.310252674428988,0.0971912214351604,0.387714800515052
"HC660_RS00095",35.1556921649612,-0.0571601647211706,0.243017261898427,0.637234236404164,0.861484689817347
"HC660_RS00100",433.374023329737,0.563336822206145,0.252294779037557,0.00350539620749184,0.0674399614379779
"HC660_RS00105",287.495564545994,0.665680361246564,0.295358507784376,0.00243155149165842,0.0585510551216009
"HC660_RS00110",94.0104620387528,-0.177467030774281,0.278402262671209,0.214752829331807,0.561823598562451
"HC660_RS00115",48.0533019528355,-0.506800279531301,0.665240095811161,0.0223685538232704,0.193672334295506
"HC660_RS00120",8.58691595443295,0.0273233183365792,0.261508147898016,0.749037267051835,NA
"HC660_RS00125",6593.46570541897,-3.14139266949311,0.628164662657589,2.29980618508688e-08,1.91056398826092e-05
"HC660_RS00130",700.671616202713,0.215613921673889,0.221688402604868,0.162450278999715,0.501433601564682
"HC660_RS00135",298.254717975049,0.512487463883419,0.378604042320365,0.0192871311308904,0.177729017398268
"HC660_RS00140",647.655749158395,0.261960296365859,0.222221511802216,0.0971755143231921,0.387714800515052
"HC660_RS00145",302.68715385501,0.642262356088749,0.238621665655443,0.00084879864479857,0.0307396477505533
"HC660_RS00150",22.9443736618674,0.0429453284806428,0.253919822161861,0.681471727682306,0.882216814087205
"HC660_RS00155",102.032164119219,0.0744330606032707,0.289496716174297,NA,NA
"HC660_RS00180",5.88547813280278,-0.0911199953013146,0.291467757958566,0.10986290333232,NA
"HC660_RS00185",186.531633251957,-0.113575106076306,0.262599366234545,0.360331967288546,0.70186226868426
"HC660_RS00190",362.272697692129,0.0398111966343176,0.235073145715076,0.753829640176585,0.915226852139859
"HC660_RS00195",267.647634434062,0.111993684627641,0.204815109400601,0.434176109588609,0.76250154740411
"HC660_RS00200",201.867678307396,0.0351637287685094,0.200698471944951,0.800266415095249,0.930427301231844
"HC660_RS00205",270.846985913767,-0.0175507882045291,0.191779153521025,0.896459982259001,0.967187182158007
"HC660_RS00210",412.650157707508,-0.0237111326333762,0.214959570125742,0.857238864841022,0.954382322095908
"HC660_RS00215",885.351159437882,0.0999764822297035,0.18000008048306,0.473079361969035,0.784452455001549
"HC660_RS00220",863.322495742282,0.318649460812065,0.193004756360877,0.0359078809106424,0.241806190003948
"HC660_RS00225",494.101827827034,0.0261344251738709,0.210879150225141,0.849619235426423,0.951153672611013
"HC660_RS00230",133.239250940565,0.197611347917973,0.259659076406536,0.198589246882231,0.544275871964699
"HC660_RS00235",45.7605491883959,0.00304257515188152,0.225109954979265,0.98308677701024,0.991947661774024
"HC660_RS00240",235.51348154037,0.35874245156415,0.25746135096972,0.0408525033884252,0.258333997320094
"HC660_RS00245",5978.92368510723,0.550968867400567,0.365203764372529,0.0138686339117989,0.145840096483885
"HC660_RS00250",2183.66296694267,0.0998262359452318,0.232278270678424,0.465974770545101,0.779674804894951
"HC660_RS00255",357.289048886058,0.109369689332186,0.205844503842126,0.444772120746617,0.765793750003994
"HC660_RS00260",854.00398604475,0.414210108947543,0.386343901495095,0.039407484526702,0.253781145508199
"HC660_RS00265",173.891100440823,0.408799240336762,0.317340233449086,0.0355160132869579,0.240366012530675
"HC660_RS00270",595.352366916068,0.312916612984021,0.31540855937652,0.0751813842919064,0.343821395656367
"HC660_RS00275",52.3940275298323,0.10459500951065,0.242069657886179,0.438656815070368,0.762669483203071
"HC660_RS00280",2588.46268486598,0.0434789054587904,0.229125937747844,0.72775064865965,0.902082622723099
"HC660_RS00285",42.8266468218298,0.259948988506901,0.347111641713592,0.0976525354547532,0.38862200636664
"HC660_RS00290",493.557216863931,0.277006554096743,0.234147142421508,0.0879672671917328,0.369551490364258
"HC660_RS00295",1587.71672983959,0.202211775780985,0.21384364934398,0.183829430540302,0.525312697974273
"HC660_RS00300",1022.59382508286,0.0244567547038139,0.212234038254928,0.857895785664602,0.954382322095908
"HC660_RS00305",1322.21717032134,-0.0817529698375102,0.235293587569889,0.534449197726256,0.814000353707392
"HC660_RS00310",1280.51356636487,0.326592904801617,0.280743873776729,0.0640569196502036,0.320240993908333
"HC660_RS00315",1418.63786732753,0.15797288444181,0.249672000265994,0.273861643694848,0.633293139873333
"HC660_RS00320",5978.76196021802,-0.0725554703780151,0.246775698770629,0.589853805033177,0.839077137896082
"HC660_RS00325",340.627065684526,0.175082759487862,0.247276463481306,0.242826346013097,0.599488817088798
"HC660_RS00330",180.653548581785,0.153247494687834,0.240670327858825,0.29488449632716,0.657210718507816
"HC660_RS00335",2546.05063553256,0.00481366723537459,0.213023028934637,0.974816983518084,0.991092069420009
"HC660_RS00340",476.432945214884,0.00919421329896055,0.217305550488575,0.941215698610896,0.979240437096327
"HC660_RS00345",217.478422761541,-0.0640225042795956,0.198380035898998,0.644925124023576,0.864496243295822
"HC660_RS00350",689.721439576538,-0.0605211979704017,0.152579171358946,0.632242910296316,0.859024351933881
"HC660_RS00355",217.093574088154,-0.0628806446628551,0.203165029329266,0.650019068550438,0.866779038841535
"HC660_RS00360",224.622784685391,0.0494830321156785,0.193040656842388,0.720425521231568,0.900800920817438
"HC660_RS00365",373.414450454763,-0.0437271934091119,0.19102280370886,0.749179764416104,0.911591608272054
"HC660_RS00370",603.043331244117,0.075410183117914,0.183469474711805,0.594676081685203,0.840539608438932
"HC660_RS00375",1072.31653893176,0.0800243118937995,0.174620780954767,0.547055602295525,0.820456737243781
"HC660_RS00390",59.7336261378835,-0.0441737869936406,0.252913018867118,0.676312752250443,0.878983734123334
"HC660_RS00395",36.8365624727085,0.00741953451056834,0.235669182133986,0.955046052521953,0.986208213962228
"HC660_RS00400",17.0265560017284,0.02211005750182,0.258922759624424,0.806982675986643,0.933705930467832
"HC660_RS00405",1576.86516096816,-0.0245899243605384,0.211742369861061,0.85383765525838,0.953074413309908
"HC660_RS00410",843.328968129391,0.210911471091273,0.234447631042524,0.173032513100737,0.512466168479276
"HC660_RS00415",16697.1834081934,0.222058543584948,0.192245474626271,0.126660990495522,0.440501737749466
"HC660_RS00420",320.936147662236,0.140692035013303,0.206789575795608,0.332553027978832,0.680883371517965
"HC660_RS00425",393.784377774986,0.00473098138261645,0.207100913388005,0.974273514360454,0.991092069420009
"HC660_RS00430",89.5603576997551,0.0738746322782483,0.244730903478906,0.550977336812728,0.822505700911363
"HC660_RS00435",4020.2630030098,0.00523682815201215,0.237226708752747,0.975666567058123,0.991092069420009
"HC660_RS00440",306.924766983928,-0.0278558465518821,0.179742035680974,0.836418817831321,0.945738589286948
"HC660_RS00445",610.058025748378,-0.035563315217651,0.18463514128399,0.79265749820244,0.930413587610989
"HC660_RS00450",326.026231718292,-0.00650643590117249,0.18998559842813,0.960366062101309,0.988629623408504
"HC660_RS00455",455.342866911427,0.011715408981344,0.195252934004454,0.934068508315357,0.97563611136967
"HC660_RS00460",224.049552830746,-0.0289001903918903,0.201988622540081,0.831618198267555,0.943484900253699
"HC660_RS00465",353.014311422283,-0.0996850644285635,0.178832660483315,0.466459589006655,0.78004461072063
"HC660_RS00470",153.689258615912,0.205037125769557,0.237089214771161,0.185859787676964,0.528325127844783
"HC660_RS00475",2658.92935787643,0.10041916475044,0.165439227580924,0.454401457483596,0.770395940417341
"HC660_RS00480",3506.09499067085,0.0189885800373159,0.190625747938373,0.884489343898797,0.962126535144023
"HC660_RS00490",545.32629743258,0.0920500315307722,0.296310202385547,NA,NA
"HC660_RS00505",26.7759488073425,-0.0408062793709935,0.2580232866061,0.67094343239328,0.877083015673827
"HC660_RS00510",59.794496480634,-0.240767884850634,0.355623211214134,0.0938428854050611,0.381425594020951
"HC660_RS00515",74.1869602636316,-0.119951309978859,0.271599846454906,0.318013559499622,0.667724390784564
"HC660_RS00520",50.1658837509788,-0.0926938337829478,0.2598044102395,0.428740688173414,0.757616004488163
"HC660_RS00525",64.3423787848476,-0.0917309575562341,0.257721380259141,0.440219167884757,0.76363557123869
"HC660_RS00530",15.2114864735496,-0.0699630398469379,0.266389799625249,0.467766615524431,0.780698772214683
"HC660_RS00535",8.48490974479629,-0.111938362605515,0.295497313637579,0.156205789363872,NA
"HC660_RS00540",47.0846585326672,-0.0570250610031005,0.253226554328558,0.603590388413222,0.847585737877852
"HC660_RS00545",11.2194649062747,1.66789320709275,2.37369269934074,0.00514620325286936,0.0846575911350737
"HC660_RS00550",1.58603336833054,0.0242507198299344,0.275991091460411,0.157519336620046,NA
"HC660_RS00560",471.824135036412,-0.331570072362363,0.335150452836419,0.0653588812386919,0.323156011896158
"HC660_RS00565",373.033243357478,-0.185924738675511,0.217170133206113,0.21629749776701,0.562362643400766
"HC660_RS00570",1067.63389717462,-0.024151842466672,0.198848241927189,0.8581686362993,0.954382322095908
"HC660_RS00575",5032.18031983878,-0.0786487149386339,0.213345488800175,0.569245236039655,0.83108677089038
"HC660_RS00580",890.561118947889,-0.067263045190689,0.208433404461297,0.625493062638935,0.856531166482376
"HC660_RS00585",903.753016741741,0.132804370970917,0.221792143034647,0.360829239453738,0.702011453574222
"HC660_RS00590",1232.52606149541,-0.0760629425830742,0.207392098573349,0.585440869824956,0.838299784137322
"HC660_RS00595",814.259060849684,0.00385884324449404,0.189555430862743,0.981495410456526,0.991947661774024
"HC660_RS00600",177.640384432381,0.304467309365067,0.27767909043726,0.0781094856305346,0.351228444858277
"HC660_RS00605",4783.57025699706,0.111252720013658,0.200871534413377,0.436877018433726,0.762657168046174
"HC660_RS00610",115.800354344269,0.120867603591213,0.230885478814178,0.396228061392997,0.730306360794665
"HC660_RS00615",420.870182661283,0.101837674183463,0.208371516612975,0.477939184817535,0.78724612219325
"HC660_RS00620",106.656075295192,-0.134779059695258,0.241777002376841,0.34285539898689,0.690810390873601
"HC660_RS00625",146.878900928178,-0.183636642191572,0.234856031016914,0.225366841072705,0.575629525660721
"HC660_RS00630",95.3100631579068,-0.169023818281384,0.247555051159805,0.254306957150371,0.611920361050458
"HC660_RS00635",343.403251546491,0.156356586225702,0.230867080635826,0.292175822846037,0.654245457761038
"HC660_RS00640",179.230786042517,0.241798092532638,0.21973679022148,0.121715869230032,0.432227105112501
"HC660_RS00645",376.918948009193,-0.0053596227426543,0.237051693214081,0.962235514658303,0.98902215131752
"HC660_RS00650",535.2625004018,1.11865201643013,0.443857507522458,0.000604408801743684,0.0247895428093493
"HC660_RS00655",22591.9894320941,0.653556252613938,0.310953926660685,0.00335166068838376,0.0659027719970369
"HC660_RS00660",22787.8360474805,0.301714832918918,0.294618494122085,0.0823898506116995,0.360713403929746
"HC660_RS00665",34359.1030786417,0.167007353810184,0.244489702372935,0.263032934112055,0.62033956001019
"HC660_RS00670",24218.412037597,0.156740441409916,0.245897886908611,0.285972773020457,0.646454098467333
"HC660_RS00675",1121.90569385636,0.0844360771872981,0.193194500754584,0.56454169758844,0.828998568371079
"HC660_RS00680",22119.3389969826,0.164624194398661,0.188227402619255,0.244246691112403,0.599717305865216
"HC660_RS00685",54103.3249354262,-0.0320178827755233,0.186542004828897,0.812327488039432,0.935140150239256
"HC660_RS00690",9644.02679237437,0.459661158476664,0.232955419379988,0.00910398145899387,0.114522507051221
"HC660_RS00695",20306.8247178844,0.546739103991039,0.232572430617392,0.00283490634499445,0.0619879073460507
"HC660_RS00700",23574.0741435396,0.309243398688621,0.228626759628775,0.0590734733464081,0.306944679943656
"HC660_RS00705",131964.220951595,0.0817385518489949,0.193622730286066,0.561748021909777,0.828998568371079
"HC660_RS00710",140363.154507427,0.00732426548864905,0.201261667460281,0.961642549679741,0.98902215131752
"HC660_RS00715",462.053110628479,0.116443438135063,0.226150240556857,0.412865038346725,0.746477901180082
"HC660_RS00720",13123.1505913939,0.205747647439883,0.231582128242769,0.180977784266656,0.522039216248348
"HC660_RS00725",21757.3482590341,0.163561906748053,0.194185707571065,0.258576361210463,0.617423553185227
"HC660_RS00730",19747.0325088812,0.0904639520341718,0.182400536072516,0.505687092764629,0.806847725288648
"HC660_RS00735",10195.4364681846,0.0765680062450018,0.179077028438319,0.576175134259839,0.834444644421418
"HC660_RS00740",32312.9818871549,0.0402907183348285,0.18369408563137,0.771477763585391,0.922008740686981
"HC660_RS00745",9146.26334586372,-0.0909461601505037,0.206472261623911,0.516458377752218,0.808446456303759
"HC660_RS00750",8909.40811494681,-0.0417862949838424,0.190396749292992,0.748692157033252,0.911591608272054
"HC660_RS00755",18297.7491976936,-0.0301087286446416,0.186469483152815,0.823556635021889,0.939563978772406
"HC660_RS00760",11568.5670873916,-0.104148957169507,0.207174541384096,0.468485462356375,0.780698772214683
"HC660_RS00765",4970.33772449706,-0.173517548740859,0.215099469960053,0.243389992515048,0.599717305865216
"HC660_RS00770",10549.6714988017,-0.148593142406193,0.2015650724672,0.304165685389913,0.662872986059653
"HC660_RS00775",12238.7156362874,-0.116966408847512,0.192048208710949,0.408299043342999,0.741813953542255
"HC660_RS00780",9270.85282808804,-0.136918157270437,0.177528393536465,0.321464431989728,0.667724390784564
"HC660_RS00785",19543.4616186611,-0.0695485796134581,0.197491291866279,0.615164016964889,0.852643141508465
"HC660_RS00790",6287.99747736462,-0.0873591477013765,0.189951114235637,0.526476785639641,0.808822172297978
"HC660_RS00795",12090.5400361073,-0.0919407408856348,0.206969820080355,0.522368806110056,0.808697824972072
"HC660_RS00800",19807.0203159482,-0.0990056621170955,0.21104191983449,0.481652106156283,0.789215951063772
"HC660_RS00805",11757.0237824097,-0.0899550752332428,0.205342271667616,0.520710540398565,0.808697824972072
"HC660_RS00810",15469.6103322372,-0.0950023572124511,0.209804767244789,0.498518432781768,0.800835506658458
"HC660_RS00815",5051.36264279363,-0.0329806127120499,0.157916905002652,0.79685838030302,0.930427301231844
"HC660_RS00820",12635.5101786437,-0.191783639999782,0.209944669112242,0.199206340472258,0.544275871964699
"HC660_RS00825",32237.5225989831,-0.0803146855138049,0.207691534157291,0.574385935513219,0.833850792359295
"HC660_RS00830",20232.1099052841,0.028899043902494,0.185941209471385,0.823638239591941,0.939563978772406
"HC660_RS00835",26213.8065399424,0.0795193104336268,0.193993352083861,0.571941192435599,0.832425542370994
"HC660_RS20940",11044.7910881849,0.0676529590398346,0.172578472379641,0.617790704878937,0.853608515672487
"HC660_RS00845",7129.27603552091,0.0427212958681032,0.181850465414478,0.73298275064349,0.90395630536801
"HC660_RS00850",2835.2824439816,0.00944927910870823,0.185682461559811,0.942870954383059,0.979724884745123
"HC660_RS00855",19122.437130127,0.152989348118529,0.164652836134343,0.251621721854602,0.60966125846798
"HC660_RS00860",21204.3890397788,0.0785396666128364,0.174603244537929,0.604299941583294,0.847652471878972
"HC660_RS00865",52441.2681174287,0.0802439212271912,0.180123911528487,0.561494860308991,0.828998568371079
"HC660_RS00870",17591.1711986021,0.035894003679552,0.188189893567931,0.786097337314825,0.927171969172539
"HC660_RS00875",826.79628556073,-0.0351370813324665,0.202549586362601,0.798773240357612,0.930427301231844
"HC660_RS00880",994.302628440172,-0.0530507813062253,0.195079424928764,0.695503324383265,0.890276404824958
"HC660_RS00885",905.132554551747,-0.0464085691749961,0.193332374955427,0.739053935014315,0.906896686134627
"HC660_RS00890",3386.73156907961,0.489060187912272,0.2731472929054,0.011629045890015,0.131515526116435
"HC660_RS00895",11920.6561430993,0.275379586246041,0.232455209722301,0.0870084375321821,0.367511568800545
"HC660_RS00900",10930.4146725945,0.169109345386251,0.222833514067357,0.26392342942733,0.621420736155143
"HC660_RS00905",218.872153622861,-0.0584557264539952,0.210348021087569,0.669474428793186,0.876196741583204
"HC660_RS00910",4.1506659686685,-0.0457614625442039,0.277369618347191,0.264573665982042,NA
"HC660_RS00915",9.41953754042115,-0.0296304962776426,0.267496638744863,0.664422538075181,NA
"HC660_RS00920",5368.52228579087,0.126748894362234,0.233239321854364,0.37386661471724,0.713314274454745
"HC660_RS00925",341.985535546998,0.227142429937333,0.290533163963141,0.147390004483028,0.479703217333108
"HC660_RS00930",202.412214606212,0.766231305946059,0.429468696222156,0.00483099437908936,0.0829724423974563
"HC660_RS00935",150.392879008545,0.621977576638389,0.350145039489795,0.00726774156486998,0.0992464390744911
"HC660_RS00940",18.0111166470479,0.088610964084796,0.294765163928839,0.0183453085085506,0.17465535153179
"HC660_RS00945",12.7158429848134,0.0948381190577796,0.294700875255304,0.0758380004983002,0.345218733775139
"HC660_RS00960",31.9878086318916,-0.802686841842009,0.718835164298471,0.00964323122578601,0.117031552277411
"HC660_RS00965",7.16031198767386,-0.0630530784659216,0.269481531047802,0.457485717050815,NA
"HC660_RS00970",3.18713738967851,0.0476599529337241,0.272390867051074,0.46437973541912,NA
"HC660_RS00980",4.08701906799421,0.143727739081411,0.325872605657995,0.0274966035866315,NA
"HC660_RS01015",99.6547215794199,0.220130927790887,0.287203643008731,0.156823490427682,0.493956832882641
"HC660_RS01020",142.081879986033,0.340155633395998,0.239276847499274,0.0445616329509995,0.269723690885558
"HC660_RS01025",1352.11779311876,0.038250140666977,0.255271651545108,0.708889543577542,0.894990016645227
"HC660_RS01030",1569.77668832302,0.043635774490106,0.257498449241693,0.660263024331345,0.873950104237952
"HC660_RS01035",1646.48875610136,0.0328391516974757,0.253815806039284,0.773595382239672,0.922417593382325
"HC660_RS01040",6335.80446552281,-0.0397234746924014,0.255581723891706,0.690260923821642,0.88766913694246
"HC660_RS01045",746.073778757601,-0.0532164355665748,0.252730350356346,0.621554127754417,0.855557637446639
"HC660_RS01050",60.1227344196243,-0.376325649984015,0.396499292907109,0.0483310988777388,0.277239118426855
"HC660_RS01055",61.8393198616444,-0.282248954497081,0.397629585469237,0.0684082624781458,0.327080080884717
"HC660_RS01060",40.8233950798318,-0.039920069127485,0.250306930465887,0.709688712103921,0.894990016645227
"HC660_RS01065",47.9424077398417,-0.486908762257643,0.580846133107213,0.0255223928064963,0.208281840051069
"HC660_RS01070",54.0511981843203,-0.30307392800118,0.354911790407496,0.0776172314851405,0.350437581827611
"HC660_RS01075",103.609284116072,-1.07824093061456,0.441152018214415,0.000751614438757608,0.0280630874156352
"HC660_RS01080",17.5828050200394,0.0222214901159876,0.248453221946586,0.838585260217416,0.945738589286948
"HC660_RS01085",60.1357178009615,-0.0389891546966325,0.226797737827154,0.763474908264098,0.918463581631143
"HC660_RS01095",5.60547444855761,-0.0681802459288581,0.275074072459062,0.366568037192111,NA
"HC660_RS01100",13.4838083263704,-0.0749334565052561,0.273859158294521,0.376605631712705,0.715120293817896
"HC660_RS01105",13.4349438527916,-0.348331226692975,0.553088874006548,0.0307575314856403,0.220274304152549
"HC660_RS01110",1.42482703815543,-0.0148569611243542,0.274458953236786,0.844955293865097,NA
"HC660_RS01115",2754.63916414363,-0.0871112213583098,0.236469205217448,0.513194570526241,0.806847725288648
