Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS00005	2314	1707	1611	1424	949	2031	1494	1480	1426	1809	1631	2384
HC660_RS00010	2214	1803	1501	1482	1305	2932	1117	1569	1198	1332	1164	2474
HC660_RS00015	150	55	122	88	122	213	54	146	125	162	94	150
HC660_RS00020	1347	545	1293	1095	943	1741	602	1182	1875	1791	1030	1423
HC660_RS00025	361	142	368	287	249	435	121	264	481	402	236	337
HC660_RS00030	5752	2843	4521	4828	4038	7409	2021	3608	3904	4291	4299	5892
HC660_RS00035	8099	4877	5573	6877	6277	10861	2797	5341	5135	6404	5940	7497
HC660_RS00040	43	23	25	45	58	83	39	22	39	4	4	29
HC660_RS00045	0	2	2	0	1	0	1	0	0	5	0	6
HC660_RS00050	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00055	25	28	22	19	39	59	57	8	26	0	10	12
HC660_RS00060	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00065	27	18	28	46	16	26	38	21	15	61	6	7
HC660_RS00070	4151	2479	2781	3740	2328	4463	1530	2815	1894	3401	2488	3208
HC660_RS00075	1805	1936	1102	1467	1136	2760	2221	1488	930	1691	1895	2779
HC660_RS00080	3273	1548	2210	2328	2008	3626	1338	1954	1645	1749	1818	2208
HC660_RS00085	5019	3594	3437	4080	4152	7040	2528	3107	2608	2697	3079	3867
HC660_RS00090	1159	1126	748	898	972	1656	943	777	506	1338	809	1116
HC660_RS00095	9	11	5	5	6	18	20	4	6	13	5	9
HC660_RS00100	245	259	195	230	144	334	266	141	107	246	190	248
HC660_RS00105	153	66	122	71	51	92	83	96	125	184	90	64
HC660_RS00110	1085	186	773	927	413	584	304	558	512	323	156	119
HC660_RS00115	407	67	252	251	73	146	94	222	255	115	50	22
HC660_RS00120	5	5	7	6	2	7	7	3	13	15	5	6
HC660_RS00125	6908	41042	1765	5615	10301	28847	33093	4027	7762	6098	7665	8038
