Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS00005	2109	938	2005	1089	2050	2700
HC660_RS00010	1446	1368	1360	1264	2644	2274
HC660_RS00015	268	135	150	153	235	210
HC660_RS00020	2946	1612	2429	2366	2694	2704
HC660_RS00025	599	283	514	845	1558	874
HC660_RS00030	6247	5484	5905	6791	7354	8653
HC660_RS00035	7781	7411	8767	9412	9566	12972
HC660_RS00040	7	1	1	3	4	5
HC660_RS00045	4	3	1	0	6	0
HC660_RS00050	0	0	0	0	0	0
HC660_RS00055	3	2	0	0	3	0
HC660_RS00060	0	0	0	0	0	0
HC660_RS00065	82	3	11	16	123	47
HC660_RS00070	4063	4935	3464	7803	5061	8393
HC660_RS00075	1029	1062	1068	1120	2514	2711
HC660_RS00080	1336	2155	1453	2736	2000	2882
HC660_RS00085	2402	3806	3018	5139	3362	4452
HC660_RS00090	1416	2581	1840	2769	2454	3365
HC660_RS00095	71	18	28	47	40	55
HC660_RS00100	424	301	392	412	479	729
HC660_RS00105	381	168	251	276	331	373
HC660_RS00110	88	102	190	77	82	169
HC660_RS00115	65	67	86	66	110	111
HC660_RS00120	19	3	5	6	6	12
HC660_RS00125	20177	5883	13927	10919	12919	1590
HC660_RS00130	1159	564	499	816	854	863
HC660_RS00135	189	266	225	297	251	473
HC660_RS00140	656	543	485	467	754	952
HC660_RS00145	262	215	245	295	293	409
HC660_RS00150	48	6	14	13	49	14
HC660_RS00155	19	8	11	3	24	1
HC660_RS00160	0	0	0	0	0	0
HC660_RS00165	0	0	0	0	0	0
HC660_RS00170	0	0	0	0	5	0
HC660_RS00175	3	0	0	0	2	0
HC660_RS00180	46	0	3	4	89	13
HC660_RS00185	342	117	320	362	402	398
HC660_RS00190	665	230	445	460	363	554
HC660_RS00195	418	211	323	239	298	426
HC660_RS00200	219	232	221	170	191	295
HC660_RS00205	398	221	342	433	410	389
HC660_RS00210	453	496	443	627	863	759
HC660_RS00215	1088	1026	844	1167	1295	1293
HC660_RS00220	985	808	855	1120	944	1196
HC660_RS00225	391	636	566	637	619	650
HC660_RS00230	198	62	134	93	186	148
HC660_RS00235	57	33	59	36	57	75
HC660_RS00240	234	147	235	195	367	315
HC660_RS00245	4872	3988	8252	10925	6282	9572
HC660_RS00250	1744	2788	1978	2848	2493	3207
HC660_RS00255	304	339	328	422	491	480
HC660_RS00260	1477	325	770	381	635	1381
HC660_RS00265	227	106	147	88	155	247
HC660_RS00270	484	563	374	491	522	823
HC660_RS00275	68	40	43	32	55	48
HC660_RS00280	1824	2620	4142	3562	2013	3159
HC660_RS00285	36	26	50	35	35	54
HC660_RS00290	508	398	366	446	522	691
HC660_RS00295	1476	1461	1486	1976	1456	2504
HC660_RS00300	920	1270	1160	1213	933	1594
HC660_RS00305	1537	1535	1870	2372	991	1800
HC660_RS00310	1392	885	953	957	1538	2261
HC660_RS00315	1430	951	1183	1365	2209	2713
HC660_RS00320	4109	8417	9279	6584	3813	9944
HC660_RS00325	357	205	452	299	317	526
HC660_RS00330	178	115	232	190	374	371
HC660_RS00335	2183	2588	3344	2958	2957	3551
HC660_RS00340	422	485	628	552	522	675
HC660_RS00345	392	175	178	139	323	235
HC660_RS00350	977	619	598	959	923	899
HC660_RS00355	216	228	240	327	267	263
HC660_RS00360	232	173	206	296	517	319
HC660_RS00365	616	281	406	520	834	657
HC660_RS00370	864	614	562	856	1006	1016
HC660_RS00375	1424	1028	1351	1620	1253	1489
HC660_RS00380	0	2	0	0	8	1
HC660_RS00385	7	0	0	1	5	0
HC660_RS00390	128	32	16	43	185	73
HC660_RS00395	68	29	30	23	94	50
HC660_RS00400	40	7	11	18	46	14
HC660_RS00405	2954	947	2236	1728	1712	2101
HC660_RS00410	1420	436	736	1315	2001	1833
HC660_RS00415	21483	12964	15746	20349	18846	20508
HC660_RS00420	459	223	325	321	645	476
HC660_RS00425	462	361	402	435	898	681
HC660_RS00430	178	58	83	102	215	140
HC660_RS00435	4492	4605	2601	9097	3767	8110
HC660_RS00440	435	311	264	405	428	372
HC660_RS00445	793	682	671	898	734	747
HC660_RS00450	612	293	284	326	582	358
HC660_RS00455	722	366	399	464	784	482
HC660_RS00460	337	158	250	210	310	259
HC660_RS00465	561	327	339	431	474	330
HC660_RS00470	152	89	159	202	228	199
HC660_RS00475	3238	2150	2770	2850	3172	3083
HC660_RS00480	3742	3405	3636	4092	4431	4607
HC660_RS00485	1	1	2	1	6	5
HC660_RS00490	396	159	91	50	282	14
HC660_RS00495	6	0	0	0	0	0
HC660_RS00500	0	0	0	2	1	0
HC660_RS00505	64	12	25	21	38	21
HC660_RS00510	109	62	83	58	64	66
HC660_RS00515	164	48	107	52	83	66
HC660_RS00520	121	34	57	57	55	55
HC660_RS00525	117	37	90	61	103	115
HC660_RS00530	35	4	17	16	27	13
HC660_RS00535	20	4	16	16	23	13
HC660_RS00540	116	25	50	34	68	68
HC660_RS00545	14	2	1	2	6	0
HC660_RS00550	0	0	0	1	1	1
HC660_RS00555	7	0	0	0	5	0
HC660_RS00560	886	697	723	2017	1481	930
HC660_RS00565	629	397	536	379	400	506
HC660_RS00570	1392	1084	1475	1134	941	1529
HC660_RS00575	5199	6037	7384	6568	5283	5880
HC660_RS00580	1542	604	1017	752	1094	1038
HC660_RS00585	1341	600	852	761	1228	1237
HC660_RS00590	1454	1672	1512	2175	2143	1875
HC660_RS00595	1011	768	956	1048	777	1123
HC660_RS00600	246	120	138	153	209	217
HC660_RS00605	4535	5001	4032	6743	4900	6360
HC660_RS00610	177	80	61	92	245	149
HC660_RS00615	717	392	267	446	864	390
HC660_RS00620	231	84	71	97	255	108
HC660_RS00625	282	121	136	160	306	216
HC660_RS00630	133	117	87	108	193	89
HC660_RS00635	607	185	261	381	1305	581
HC660_RS00640	277	120	158	202	616	407
HC660_RS00645	979	230	229	1064	1811	1401
HC660_RS00650	535	179	285	322	698	913
HC660_RS00655	18452	14770	18435	19294	17316	34042
HC660_RS00660	17923	17651	18776	24766	33499	31611
HC660_RS00665	28801	29319	31613	39883	43921	50891
HC660_RS00670	17196	21704	23616	27409	21739	31778
HC660_RS00675	1453	751	803	1102	2390	1181
HC660_RS00680	27707	12612	19098	19423	37325	25480
HC660_RS00685	68728	45255	57810	63197	79221	61866
HC660_RS00690	11954	5785	6682	9954	18170	13389
HC660_RS00695	20543	12973	12650	19660	27503	27439
HC660_RS00700	24197	17463	16129	24015	35388	33626
HC660_RS00705	155436	103081	107507	151041	177341	179994
HC660_RS00710	135555	149475	158611	172440	166303	174765
HC660_RS00715	547	320	255	402	1239	453
HC660_RS00720	13914	10162	10129	12780	20350	16484
HC660_RS00725	31815	16114	15271	21048	37282	23513
HC660_RS00730	29290	14301	14706	18478	34249	23757
HC660_RS00735	15297	6932	8027	10428	17242	11224
HC660_RS00740	49247	21075	24634	31756	50410	39804
HC660_RS00745	16995	6395	6936	8910	16614	10178
HC660_RS00750	14233	5995	6722	8292	15586	9502
HC660_RS00755	29508	11413	13797	19549	34408	19908
HC660_RS00760	20955	6646	8582	12382	23016	11934
HC660_RS00765	8367	2930	4118	5937	9482	5175
HC660_RS00770	17992	6540	8502	12367	37392	12158
HC660_RS00775	21162	9301	9049	12293	24178	12631
HC660_RS00780	14393	6910	7735	10154	22813	10101
HC660_RS00785	37791	12616	14404	21489	41730	18298
