Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS00005	2109	938	2005	1487	1380	1469	2194	2047	1619	1415	2636	2172
HC660_RS00010	1446	1368	1360	1915	1498	1155	1397	1410	1244	1491	1768	2102
HC660_RS00015	268	135	150	256	170	161	219	148	153	209	232	231
HC660_RS00020	2946	1612	2429	2269	1998	2036	2655	2177	2064	2628	2526	2943
HC660_RS00025	599	283	514	496	461	499	599	396	457	626	720	614
HC660_RS00030	6247	5484	5905	7854	5663	5453	6044	5904	6210	8359	6632	8143
HC660_RS00035	7781	7411	8767	11111	7448	6452	9200	9069	9103	11654	10258	11377
HC660_RS00040	7	1	1	0	7	6	157	2	1	1	0	1
HC660_RS00045	4	3	1	1	8	1	0	0	0	2	3	0
HC660_RS00050	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00055	3	2	0	1	0	2	34	2	1	0	0	0
HC660_RS00060	0	0	0	0	2	0	0	0	0	0	0	0
HC660_RS00065	82	3	11	23	34	28	12	18	12	7	16	23
HC660_RS00070	4063	4935	3464	4582	2844	2471	3110	4595	3109	5813	8468	7675
HC660_RS00075	1029	1062	1068	3065	1821	949	1921	1540	1505	1297	3233	3157
HC660_RS00080	1336	2155	1453	1829	1307	1388	1033	1756	1905	2810	2168	2031
HC660_RS00085	2402	3806	3018	3791	2382	2483	2104	3375	2770	4697	3010	2996
HC660_RS00090	1416	2581	1840	2866	1629	2357	1750	2467	2603	3079	2915	2421
HC660_RS00095	71	18	28	39	61	38	22	28	17	37	50	32
HC660_RS00100	424	301	392	415	317	265	401	495	424	598	560	664
HC660_RS00105	381	168	251	229	190	211	257	450	296	333	293	407
HC660_RS00110	88	102	190	78	76	89	44	75	86	87	110	114
HC660_RS00115	65	67	86	31	38	27	24	28	19	133	60	28
HC660_RS00120	19	3	5	11	17	6	8	4	9	3	9	13
HC660_RS00125	20177	5883	13927	2039	14549	16245	1263	853	495	5217	1937	2217
HC660_RS00130	1159	564	499	697	564	546	542	835	589	818	780	1055
HC660_RS00135	189	266	225	260	223	236	177	327	406	395	462	423
HC660_RS00140	656	543	485	820	593	471	500	579	535	872	845	1060
HC660_RS00145	262	215	245	303	318	269	242	320	334	375	369	391
HC660_RS00150	48	6	14	14	32	31	19	18	15	21	25	48
HC660_RS00155	19	8	11	0	10	15	850	12	9	5	0	2
HC660_RS00160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00165	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS00170	0	0	0	0	0	1	8	0	0	0	0	0
HC660_RS00175	3	0	0	0	1	0	0	0	0	0	0	0
HC660_RS00180	46	0	3	2	8	7	1	2	4	1	4	7
HC660_RS00185	342	117	320	75	120	133	115	195	96	498	126	236
HC660_RS00190	665	230	445	131	241	255	204	514	312	798	269	475
HC660_RS00195	418	211	323	237	158	169	214	323	248	291	314	368
HC660_RS00200	219	232	221	174	175	116	137	215	174	301	242	259
HC660_RS00205	398	221	342	210	189	151	208	226	238	513	306	371
HC660_RS00210	453	496	443	425	254	195	272	366	356	837	418	596
HC660_RS00215	1088	1026	844	776	654	596	738	908	771	1290	979	1129
HC660_RS00220	985	808	855	765	746	627	750	955	876	1031	947	1068
HC660_RS00225	391	636	566	483	428	367	352	451	474	690	578	534
HC660_RS00230	198	62	134	179	130	123	115	144	110	123	160	142
HC660_RS00235	57	33	59	52	42	45	39	30	39	37	66	59
HC660_RS00240	234	147	235	294	261	242	217	216	213	218	261	294
HC660_RS00245	4872	3988	8252	3137	2667	3016	7092	7766	7842	8780	6996	5907
HC660_RS00250	1744	2788	1978	2738	1731	1237	1667	2493	1797	2501	2813	2770
HC660_RS00255	304	339	328	479	378	336	217	327	297	438	430	475
HC660_RS00260	1477	325	770	610	582	581	1172	690	1053	825	1137	1140
HC660_RS00265	227	106	147	176	137	101	182	193	153	172	264	256
HC660_RS00270	484	563	374	826	530	455	568	546	486	514	909	931
HC660_RS00275	68	40	43	89	55	40	56	39	36	44	60	67
HC660_RS00280	1824	2620	4142	1667	2186	2536	1927	2078	3354	3703	2267	2522
HC660_RS00285	36	26	50	41	42	56	43	32	64	55	33	25
HC660_RS00290	508	398	366	452	502	422	461	350	423	553	771	848
HC660_RS00295	1476	1461	1486	1744	1176	1293	1287	1530	1306	2061	2196	2320
HC660_RS00300	920	1270	1160	1186	604	793	712	989	954	1349	1258	1157
HC660_RS00305	1537	1535	1870	573	619	832	967	588	1566	3162	1440	1769
HC660_RS00310	1392	885	953	1567	1112	845	877	1406	1096	1352	2014	2240
HC660_RS00315	1430	951	1183	2203	1256	777	762	1498	1127	1847	2022	2507
HC660_RS00320	4109	8417	9279	4317	3195	2294	3302	4514	6608	15370	5982	5807
HC660_RS00325	357	205	452	232	214	271	218	405	356	534	442	472
HC660_RS00330	178	115	232	169	138	137	115	183	198	282	242	210
HC660_RS00335	2183	2588	3344	3055	2030	2024	1421	2747	2076	3643	2757	3043
HC660_RS00340	422	485	628	577	413	347	291	518	379	774	450	494
HC660_RS00345	392	175	178	254	260	273	142	169	158	186	200	319
HC660_RS00350	977	619	598	785	750	735	483	507	472	867	739	1033
HC660_RS00355	216	228	240	264	229	216	176	119	167	269	264	261
HC660_RS00360	232	173	206	309	227	206	121	157	198	308	289	357
HC660_RS00365	616	281	406	363	409	351	339	239	277	529	349	473
HC660_RS00370	864	614	562	619	461	562	608	419	555	764	593	744
HC660_RS00375	1424	1028	1351	728	739	783	1032	914	1078	1287	1123	1578
HC660_RS00380	0	2	0	0	2	0	2	0	0	0	1	0
HC660_RS00385	7	0	0	3	3	2	1	0	0	0	2	3
HC660_RS00390	128	32	16	61	147	99	30	32	32	27	50	104
HC660_RS00395	68	29	30	37	70	30	38	30	20	29	26	46
HC660_RS00400	40	7	11	8	46	19	8	22	13	8	6	24
HC660_RS00405	2954	947	2236	766	1054	1305	1339	1594	1155	2262	1844	2193
HC660_RS00410	1420	436	736	649	683	828	668	827	803	1151	1097	1155
HC660_RS00415	21483	12964	15746	17879	14702	14167	12619	18831	13493	22606	17955	21837
HC660_RS00420	459	223	325	277	316	300	275	242	330	310	379	503
HC660_RS00425	462	361	402	503	398	348	232	237	434	401	384	692
HC660_RS00430	178	58	83	46	98	54	65	136	61	69	144	113
HC660_RS00435	4492	4605	2601	2500	2003	4635	1972	1694	5023	11147	3992	6065
HC660_RS00440	435	311	264	283	300	350	254	223	216	332	381	434
HC660_RS00445	793	682	671	499	439	589	421	588	492	942	673	695
HC660_RS00450	612	293	284	285	351	397	231	340	243	312	315	352
HC660_RS00455	722	366	399	463	537	612	241	439	381	392	520	527
HC660_RS00460	337	158	250	226	262	309	124	212	170	207	262	231
HC660_RS00465	561	327	339	379	453	402	201	320	256	396	331	391
HC660_RS00470	152	89	159	175	172	189	111	146	121	185	196	170
