Condition,Dose,Dose_f,Time,mean,lwr,upr
1g,0,0,0,0,0,0
1g,0,0,1,0.09033262196380766,0.06713717744494307,0.11352806648267225
1g,0,0,2,0.24253226271055434,0.1657390544776593,0.3193254709434494
1g,0,0,3,0.5391222211216886,0.4553791291637074,0.6228653130796699
1g,6.5,6.5,0,0,0,0
1g,6.5,6.5,1,0.11170367140326834,0.0793119677332149,0.14409537507332176
1g,6.5,6.5,2,0.32790975143847567,0.2603375203448729,0.39548198253207845
1g,6.5,6.5,3,0.5448843015598573,0.4879914161753001,0.6017771869444145
1g,13,13,0,0,0,0
1g,13,13,1,0.13178304102778,0.09481020410097349,0.1687558779545865
1g,13,13,2,0.4463862860230473,0.43917297095731817,0.45359960108877645
1g,13,13,3,0.6298627080917083,0.5913963440721539,0.6683290721112627
1g,19.5,19.5,0,0,0,0
1g,19.5,19.5,1,0.10461148771672134,0.08348514456052095,0.12573783087292173
1g,19.5,19.5,2,0.3038844409795077,0.267518766756757,0.34025011520225834
1g,19.5,19.5,3,0.5856842649690233,0.5305262376497595,0.640842292288287
SMG,0,0,0,0,0,0
SMG,0,0,1,0.10598904853051667,0.022780346368746485,0.18919775069228686
SMG,0,0,2,0.26358187414678935,0.1845550245302779,0.3426087237633008
SMG,0,0,3,0.6364999324924003,0.5469906919138886,0.7260091730709121
SMG,6.5,6.5,0,0,0,0
SMG,6.5,6.5,1,0.14893705408637767,0.11447835139381143,0.1833957567789439
SMG,6.5,6.5,2,0.42284186337822566,0.36000021770035434,0.485683509056097
SMG,6.5,6.5,3,0.62587114785079,0.5567884378796322,0.6949538578219479
SMG,13,13,0,0,0,0
SMG,13,13,1,0.14572501448583366,0.12750894178165034,0.163941087190017
SMG,13,13,2,0.49862440011574,0.45251399434248823,0.5447348058889918
SMG,13,13,3,0.6105410791137157,0.5785093454763772,0.6425728127510542
SMG,19.5,19.5,0,0,0,0
SMG,19.5,19.5,1,0.12446152814693799,0.09636812397056341,0.15255493232331258
SMG,19.5,19.5,2,0.3201490404086723,0.2841153996076134,0.35618268120973123
SMG,19.5,19.5,3,0.5982183412581134,0.5411375389258314,0.6552991435903953
