timepoint,term,Df,SumOfSqs,R2,F,Pr(>F)
3 h,condition,1,0.008626297445045398,0.08239043375990066,2.2240470621734083,0.035
3 h,dose_f,3,0.021244746227921135,0.20291021356361585,1.8257858498323916,0.017
3 h,condition:dose_f,3,0.012770806676306545,0.12197496182201192,1.0975305551026646,0.307
3 h,Residual,16,0.062058380628802055,0.5927243908544715,NA,NA
3 h,Total,23,0.10470023097807514,1,NA,NA
10 h,condition,1,0.014805924480710301,0.09232136712964457,2.8983859622754613,0.006
10 h,dose_f,3,0.0355606632782132,0.2217361742023482,2.320434350205759,0.001
10 h,condition:dose_f,3,0.028273819950753364,0.1762995424724566,1.8449471122620058,0.017
10 h,Residual,16,0.08173334910350716,0.5096429161955506,NA,NA
10 h,Total,23,0.16037375681318403,1,NA,NA
