gene_symbol,bin,contrast_label,timepoint,LFC,adjusted_p,locus_tag
hdrD,Metabolism,SMG+19.5,3 h,-3.26333572630844,4.62027026684462e-5,HC660_RS18885
pckA,Metabolism,SMG+19.5,3 h,-3.22112108033284,2.77816285568859e-5,HC660_RS15295
yvmC,Metabolism,SMG+6.5,10 h,3.21315567280527,1.6985169818775e-4,HC660_RS17700
gntK,Metabolism,1g+6.5,10 h,-2.83280453404598,3.19028796727532e-6,HC660_RS20360
dctA,Transport,SMG+19.5,3 h,-2.89143851081459,2.31688735776712e-6,HC660_RS02520
nikE,Transport,SMG+0,10 h,2.77534472825408,2.47262401085501e-6,HC660_RS13050
urtC,Transport,SMG+0,10 h,-2.70670579672126,3.9743276613794e-4,HC660_RS18610
iolT,Transport,1g+6.5,10 h,-2.53030574273228,2.4748128914886702e-9,HC660_RS20260
cheA,Motility/Chemotaxis,SMG+0,10 h,1.87875022865125,9.061195017905e-4,HC660_RS08910
flhB,Motility/Chemotaxis,SMG+0,10 h,1.77342998047873,0.0174693611421351,HC660_RS08885
cheB,Motility/Chemotaxis,SMG+0,10 h,1.7637192592645,0.00863251286652098,HC660_RS08905
fliL,Motility/Chemotaxis,SMG+0,3 h,1.68150995263883,0.00879905623708275,HC660_RS08845
osmC,ROS/Redox,SMG+13,3 h,-2.40700070055702,0.00235290566475933,HC660_RS07245
katE,ROS/Redox,SMG+6.5,10 h,-2.05073780202575,1.55169120430187e-7,HC660_RS04935
brxC,ROS/Redox,1g+6.5,10 h,-1.92065725583139,5.25331754948961e-6,HC660_RS14900
ydbD,ROS/Redox,1g+6.5,10 h,-1.42252878653911,0.0234638781051395,HC660_RS02500
sirA,Iron/Siderophore,SMG+0,10 h,2.17527998411028,4.1745516561683e-4,HC660_RS04585
fhuD,Iron/Siderophore,SMG+0,10 h,1.43817023954116,0.00434661584853805,HC660_RS20160
fur,Iron/Siderophore,1g+19.5,10 h,-1.38308172340655,5.1647643989768e-4,HC660_RS11670
efeO,Iron/Siderophore,SMG+0,10 h,1.26658208050538,0.0143627079214995,HC660_RS19430
