group,replicate,auc_baseline,auc_biocide,baseline_candidate,biocide,net_kill
1g+13,1,-0.041444392830888833,-0.6254501007761196,ctrl1,DDAC,0.5840057079452308
1g+13,2,-0.0794833130435758,-0.5202489648747273,ctrl1,DDAC,0.44076565183115146
1g+13,3,-0.15723034966005262,-0.5769130735960752,ctrl1,DDAC,0.41968272393602263
1g+19.5,1,-0.0063578270905759,-0.6273825480050451,ctrl1,DDAC,0.6210247209144693
1g+19.5,2,-0.007375498955562706,-0.6340734410657175,ctrl1,DDAC,0.6266979421101548
1g+19.5,3,-0.039433177461559714,-0.5757906110096224,ctrl1,DDAC,0.5363574335480626
1g+6.5,1,-0.015699698280041335,-0.5483220868953453,ctrl1,DDAC,0.532622388615304
1g+6.5,2,0.2492510959142052,-0.6942566985454929,ctrl1,DDAC,0.9435077944596981
1g+6.5,3,-0.07687046932459916,-0.6813646679896774,ctrl1,DDAC,0.6044941986650783
Ctrl,1,-0.016266191467570707,-0.5861009348642889,ctrl1,DDAC,0.5698347433967182
Ctrl,2,0.03210318699163524,-0.5596263847150516,ctrl1,DDAC,0.5917295717066868
Ctrl,3,0.08341223420764435,-0.5935537302311241,ctrl1,DDAC,0.6769659644387684
SMG,1,-0.035704230767617806,-0.5568167840793955,ctrl1,DDAC,0.5211125533117777
SMG,2,-0.004057874068630634,-0.6060447246591856,ctrl1,DDAC,0.6019868505905549
SMG,3,0.01736268913019827,-0.5625493800442732,ctrl1,DDAC,0.5799120691744715
SMG+13,1,0.3061812349009074,-0.5774734833351969,ctrl1,DDAC,0.8836547182361043
SMG+13,2,0.502449923024368,-0.5105530694976944,ctrl1,DDAC,1.0130029925220625
SMG+13,3,0.6622394011701646,-0.6304185689157511,ctrl1,DDAC,1.2926579700859158
SMG+19.5,1,-0.07428983182215519,-0.6209817922521808,ctrl1,DDAC,0.5466919604300255
SMG+19.5,2,-0.045521242874674836,-0.6821278030083341,ctrl1,DDAC,0.6366065601336592
SMG+19.5,3,-0.07052520943705637,-0.7738506985074692,ctrl1,DDAC,0.7033254890704128
SMG+6.5,1,0.32961547580230316,-0.5264466739745286,ctrl1,DDAC,0.8560621497768317
SMG+6.5,2,0.08004154406998376,-0.4978319493145874,ctrl1,DDAC,0.5778734933845712
SMG+6.5,3,0.029335275765186686,-0.5675567493319005,ctrl1,DDAC,0.5968920250970872
1g+13,1,-0.041444392830888833,-0.1466435420948354,ctrl1,Gentamicin,0.10519914926394658
1g+13,2,-0.0794833130435758,-0.14772781140811111,ctrl1,Gentamicin,0.06824449836453532
1g+13,3,-0.15723034966005262,-0.20447923281325645,ctrl1,Gentamicin,0.04724888315320383
1g+19.5,1,-0.0063578270905759,-0.22253684902652826,ctrl1,Gentamicin,0.21617902193595237
1g+19.5,2,-0.007375498955562706,-0.21233529124757183,ctrl1,Gentamicin,0.20495979229200914
1g+19.5,3,-0.039433177461559714,-0.23377082652895428,ctrl1,Gentamicin,0.19433764906739456
1g+6.5,1,-0.015699698280041335,-0.18237755145701812,ctrl1,Gentamicin,0.16667785317697678
1g+6.5,2,0.2492510959142052,-0.1424109610641053,ctrl1,Gentamicin,0.39166205697831047
1g+6.5,3,-0.07687046932459916,-0.2432573144412549,ctrl1,Gentamicin,0.16638684511665575
Ctrl,1,-0.016266191467570707,-0.1762992173104191,ctrl1,Gentamicin,0.16003302584284837
Ctrl,2,0.03210318699163524,-0.22481654757906436,ctrl1,Gentamicin,0.2569197345706996
Ctrl,3,0.08341223420764435,-0.1513413120722305,ctrl1,Gentamicin,0.23475354627987485
SMG,1,-0.035704230767617806,-0.1766772091962689,ctrl1,Gentamicin,0.14097297842865109
SMG,2,-0.004057874068630634,-0.16735509631278586,ctrl1,Gentamicin,0.16329722224415522
SMG,3,0.01736268913019827,-0.188235982501928,ctrl1,Gentamicin,0.20559867163212625
SMG+13,1,0.3061812349009074,-0.13921873543710866,ctrl1,Gentamicin,0.44539997033801604
SMG+13,2,0.502449923024368,-0.2689461116574266,ctrl1,Gentamicin,0.7713960346817945
SMG+13,3,0.6622394011701646,-0.2307865068082336,ctrl1,Gentamicin,0.8930259079783982
SMG+19.5,1,-0.07428983182215519,-0.3101114616224226,ctrl1,Gentamicin,0.23582162980026738
SMG+19.5,2,-0.045521242874674836,-0.31006546191576667,ctrl1,Gentamicin,0.2645442190410918
SMG+19.5,3,-0.07052520943705637,-0.3012770084969736,ctrl1,Gentamicin,0.23075179905991722
SMG+6.5,1,0.32961547580230316,-0.16532978678745383,ctrl1,Gentamicin,0.494945262589757
SMG+6.5,2,0.08004154406998376,-0.1683926807143093,ctrl1,Gentamicin,0.24843422478429306
SMG+6.5,3,0.029335275765186686,-0.15852152186123036,ctrl1,Gentamicin,0.18785679762641705
1g+13,1,-0.041444392830888833,-0.13059518129081701,ctrl1,H2O2,0.08915078845992819
1g+13,2,-0.0794833130435758,-0.3329540450301944,ctrl1,H2O2,0.25347073198661857
1g+13,3,-0.15723034966005262,-0.3321176044746925,ctrl1,H2O2,0.1748872548146399
1g+19.5,1,-0.0063578270905759,-0.2189286481019107,ctrl1,H2O2,0.21257082101133482
1g+19.5,2,-0.007375498955562706,-0.07053721980842072,ctrl1,H2O2,0.06316172085285801
1g+19.5,3,-0.039433177461559714,-0.14441412013592234,ctrl1,H2O2,0.10498094267436262
1g+6.5,1,-0.015699698280041335,-0.386601079418147,ctrl1,H2O2,0.37090138113810567
1g+6.5,2,0.2492510959142052,-0.13919760376605506,ctrl1,H2O2,0.38844869968026025
1g+6.5,3,-0.07687046932459916,-0.3515795904948674,ctrl1,H2O2,0.27470912117026824
Ctrl,1,-0.016266191467570707,-0.31631754490285036,ctrl1,H2O2,0.30005135343527967
Ctrl,2,0.03210318699163524,-0.3819707722486433,ctrl1,H2O2,0.4140739592402785
Ctrl,3,0.08341223420764435,-0.5236035744162963,ctrl1,H2O2,0.6070158086239407
SMG,1,-0.035704230767617806,-0.45670540260645204,ctrl1,H2O2,0.42100117183883423
SMG,2,-0.004057874068630634,-0.35862750230970986,ctrl1,H2O2,0.35456962824107924
SMG,3,0.01736268913019827,-0.43100076455815545,ctrl1,H2O2,0.44836345368835373
SMG+13,1,0.3061812349009074,-0.28151557515718123,ctrl1,H2O2,0.5876968100580886
SMG+13,2,0.502449923024368,-0.4722533842892698,ctrl1,H2O2,0.9747033073136377
SMG+13,3,0.6622394011701646,-0.3588369330932986,ctrl1,H2O2,1.0210763342634632
SMG+19.5,1,-0.07428983182215519,-0.028585832707260814,ctrl1,H2O2,-0.04570399911489438
SMG+19.5,2,-0.045521242874674836,-0.16865993516976585,ctrl1,H2O2,0.12313869229509102
SMG+19.5,3,-0.07052520943705637,-0.21347016773107277,ctrl1,H2O2,0.1429449582940164
SMG+6.5,1,0.32961547580230316,-0.305296416240436,ctrl1,H2O2,0.6349118920427392
SMG+6.5,2,0.08004154406998376,-0.4652613775171175,ctrl1,H2O2,0.5453029215871013
SMG+6.5,3,0.029335275765186686,-0.27345726432729356,ctrl1,H2O2,0.30279254009248024
1g+13,1,-0.041444392830888833,-0.05196047805361729,ctrl1,NaHCO3,0.010516085222728455
1g+13,2,-0.0794833130435758,-0.0665104932505027,ctrl1,NaHCO3,-0.01297281979307309
1g+13,3,-0.15723034966005262,-0.06873377609276514,ctrl1,NaHCO3,-0.08849657356728748
1g+19.5,1,-0.0063578270905759,-0.0657779790302373,ctrl1,NaHCO3,0.0594201519396614
1g+19.5,2,-0.007375498955562706,-0.018855181329580254,ctrl1,NaHCO3,0.011479682374017548
1g+19.5,3,-0.039433177461559714,-0.052611807580776895,ctrl1,NaHCO3,0.013178630119217181
1g+6.5,1,-0.015699698280041335,-0.0958518185248043,ctrl1,NaHCO3,0.08015212024476297
1g+6.5,2,0.2492510959142052,-0.06476571108493588,ctrl1,NaHCO3,0.3140168069991411
1g+6.5,3,-0.07687046932459916,-0.03773430416337827,ctrl1,NaHCO3,-0.03913616516122089
Ctrl,1,-0.016266191467570707,-0.11879479249680373,ctrl1,NaHCO3,0.10252860102923303
Ctrl,2,0.03210318699163524,-0.07540678982849555,ctrl1,NaHCO3,0.10750997682013079
Ctrl,3,0.08341223420764435,-0.08884510024589627,ctrl1,NaHCO3,0.17225733445354063
SMG,1,-0.035704230767617806,-0.07973002501297907,ctrl1,NaHCO3,0.044025794245361266
SMG,2,-0.004057874068630634,-0.10886079521465408,ctrl1,NaHCO3,0.10480292114602345
SMG,3,0.01736268913019827,-0.11715531177979006,ctrl1,NaHCO3,0.13451800090998833
SMG+13,1,0.3061812349009074,-0.0657779790302373,ctrl1,NaHCO3,0.37195921393114467
SMG+13,2,0.502449923024368,-0.018855181329580254,ctrl1,NaHCO3,0.5213051043539483
SMG+13,3,0.6622394011701646,-0.052611807580776895,ctrl1,NaHCO3,0.7148512087509414
SMG+19.5,1,-0.07428983182215519,-0.030091953856850286,ctrl1,NaHCO3,-0.0441978779653049
SMG+19.5,2,-0.045521242874674836,-0.023484364551416243,ctrl1,NaHCO3,-0.022036878323258593
SMG+19.5,3,-0.07052520943705637,-0.030611534064584344,ctrl1,NaHCO3,-0.03991367537247202
SMG+6.5,1,0.32961547580230316,-0.12917431798160545,ctrl1,NaHCO3,0.4587897937839086
SMG+6.5,2,0.08004154406998376,-0.09740328163581774,ctrl1,NaHCO3,0.1774448257058015
SMG+6.5,3,0.029335275765186686,-0.0826802690819516,ctrl1,NaHCO3,0.11201554484713828
1g+13,1,-0.0772768266972016,-0.6254501007761196,ctrl2,DDAC,0.548173274078918
1g+13,2,-0.22657785568901262,-0.5202489648747273,ctrl2,DDAC,0.29367110918571465
1g+13,3,0.015427183548366492,-0.5769130735960752,ctrl2,DDAC,0.5923402571444417
1g+19.5,1,-0.2332103521159415,-0.6273825480050451,ctrl2,DDAC,0.3941721958891036
1g+19.5,2,-0.2013859257553503,-0.6340734410657175,ctrl2,DDAC,0.4326875153103672
1g+19.5,3,-0.19967993987037727,-0.5757906110096224,ctrl2,DDAC,0.3761106711392451
1g+6.5,1,-0.2589877011942026,-0.5483220868953453,ctrl2,DDAC,0.2893343857011427
1g+6.5,2,-0.05904664220141585,-0.6942566985454929,ctrl2,DDAC,0.635210056344077
1g+6.5,3,-0.2223313713197865,-0.6813646679896774,ctrl2,DDAC,0.4590332966698909
Ctrl,1,0.12092696289652735,-0.5861009348642889,ctrl2,DDAC,0.7070278977608163
Ctrl,2,-0.06925029911545502,-0.5596263847150516,ctrl2,DDAC,0.49037608559959656
Ctrl,3,0.021533719129824647,-0.5935537302311241,ctrl2,DDAC,0.6150874493609487
SMG,1,-0.10598342992924922,-0.5568167840793955,ctrl2,DDAC,0.45083335415014625
SMG,2,-0.04661406823686193,-0.6060447246591856,ctrl2,DDAC,0.5594306564223237
SMG,3,0.08140821624660136,-0.5625493800442732,ctrl2,DDAC,0.6439575962908746
SMG+13,1,-0.06725561725837345,-0.5774734833351969,ctrl2,DDAC,0.5102178660768234
SMG+13,2,-0.07227872476027121,-0.5105530694976944,ctrl2,DDAC,0.4382743447374232
SMG+13,3,-0.24153178477824364,-0.6304185689157511,ctrl2,DDAC,0.38888678413750744
SMG+19.5,1,-0.17178360490851058,-0.6209817922521808,ctrl2,DDAC,0.4491981873436702
SMG+19.5,2,-0.09414452371898073,-0.6821278030083341,ctrl2,DDAC,0.5879832792893533
SMG+19.5,3,-0.12113603678395392,-0.7738506985074692,ctrl2,DDAC,0.6527146617235153
SMG+6.5,1,0.2042454451977046,-0.5264466739745286,ctrl2,DDAC,0.7306921191722332
SMG+6.5,2,-0.18866344284343026,-0.4978319493145874,ctrl2,DDAC,0.3091685064711571
SMG+6.5,3,-0.11824273077617739,-0.5675567493319005,ctrl2,DDAC,0.44931401855572306
1g+13,1,-0.0772768266972016,-0.1466435420948354,ctrl2,Gentamicin,0.06936671539763381
1g+13,2,-0.22657785568901262,-0.14772781140811111,ctrl2,Gentamicin,-0.0788500442809015
1g+13,3,0.015427183548366492,-0.20447923281325645,ctrl2,Gentamicin,0.21990641636162295
1g+19.5,1,-0.2332103521159415,-0.22253684902652826,ctrl2,Gentamicin,-0.010673503089413228
1g+19.5,2,-0.2013859257553503,-0.21233529124757183,ctrl2,Gentamicin,0.01094936549222153
1g+19.5,3,-0.19967993987037727,-0.23377082652895428,ctrl2,Gentamicin,0.03409088665857701
1g+6.5,1,-0.2589877011942026,-0.18237755145701812,ctrl2,Gentamicin,-0.0766101497371845
1g+6.5,2,-0.05904664220141585,-0.1424109610641053,ctrl2,Gentamicin,0.08336431886268945
1g+6.5,3,-0.2223313713197865,-0.2432573144412549,ctrl2,Gentamicin,0.020925943121468393
Ctrl,1,0.12092696289652735,-0.1762992173104191,ctrl2,Gentamicin,0.29722618020694647
Ctrl,2,-0.06925029911545502,-0.22481654757906436,ctrl2,Gentamicin,0.15556624846360934
Ctrl,3,0.021533719129824647,-0.1513413120722305,ctrl2,Gentamicin,0.17287503120205516
SMG,1,-0.10598342992924922,-0.1766772091962689,ctrl2,Gentamicin,0.07069377926701967
SMG,2,-0.04661406823686193,-0.16735509631278586,ctrl2,Gentamicin,0.12074102807592393
SMG,3,0.08140821624660136,-0.188235982501928,ctrl2,Gentamicin,0.26964419874852935
SMG+13,1,-0.06725561725837345,-0.13921873543710866,ctrl2,Gentamicin,0.07196311817873521
SMG+13,2,-0.07227872476027121,-0.2689461116574266,ctrl2,Gentamicin,0.1966673868971554
SMG+13,3,-0.24153178477824364,-0.2307865068082336,ctrl2,Gentamicin,-0.010745277970010042
SMG+19.5,1,-0.17178360490851058,-0.3101114616224226,ctrl2,Gentamicin,0.138327856713912
SMG+19.5,2,-0.09414452371898073,-0.31006546191576667,ctrl2,Gentamicin,0.21592093819678593
SMG+19.5,3,-0.12113603678395392,-0.3012770084969736,ctrl2,Gentamicin,0.18014097171301968
SMG+6.5,1,0.2042454451977046,-0.16532978678745383,ctrl2,Gentamicin,0.3695752319851584
SMG+6.5,2,-0.18866344284343026,-0.1683926807143093,ctrl2,Gentamicin,-0.02027076212912096
SMG+6.5,3,-0.11824273077617739,-0.15852152186123036,ctrl2,Gentamicin,0.04027879108505297
1g+13,1,-0.0772768266972016,-0.13059518129081701,ctrl2,H2O2,0.05331835459361542
1g+13,2,-0.22657785568901262,-0.3329540450301944,ctrl2,H2O2,0.10637618934118176
1g+13,3,0.015427183548366492,-0.3321176044746925,ctrl2,H2O2,0.347544788023059
1g+19.5,1,-0.2332103521159415,-0.2189286481019107,ctrl2,H2O2,-0.014281704014030783
1g+19.5,2,-0.2013859257553503,-0.07053721980842072,ctrl2,H2O2,-0.1308487059469296
1g+19.5,3,-0.19967993987037727,-0.14441412013592234,ctrl2,H2O2,-0.055265819734454935
1g+6.5,1,-0.2589877011942026,-0.386601079418147,ctrl2,H2O2,0.12761337822394436
1g+6.5,2,-0.05904664220141585,-0.13919760376605506,ctrl2,H2O2,0.0801509615646392
1g+6.5,3,-0.2223313713197865,-0.3515795904948674,ctrl2,H2O2,0.12924821917508092
Ctrl,1,0.12092696289652735,-0.31631754490285036,ctrl2,H2O2,0.43724450779937774
Ctrl,2,-0.06925029911545502,-0.3819707722486433,ctrl2,H2O2,0.3127204731331883
Ctrl,3,0.021533719129824647,-0.5236035744162963,ctrl2,H2O2,0.545137293546121
SMG,1,-0.10598342992924922,-0.45670540260645204,ctrl2,H2O2,0.35072197267720284
SMG,2,-0.04661406823686193,-0.35862750230970986,ctrl2,H2O2,0.31201343407284793
SMG,3,0.08140821624660136,-0.43100076455815545,ctrl2,H2O2,0.5124089808047568
SMG+13,1,-0.06725561725837345,-0.28151557515718123,ctrl2,H2O2,0.21425995789880778
SMG+13,2,-0.07227872476027121,-0.4722533842892698,ctrl2,H2O2,0.3999746595289986
SMG+13,3,-0.24153178477824364,-0.3588369330932986,ctrl2,H2O2,0.11730514831505498
SMG+19.5,1,-0.17178360490851058,-0.028585832707260814,ctrl2,H2O2,-0.14319777220124977
SMG+19.5,2,-0.09414452371898073,-0.16865993516976585,ctrl2,H2O2,0.07451541145078512
SMG+19.5,3,-0.12113603678395392,-0.21347016773107277,ctrl2,H2O2,0.09233413094711886
