run,group,replicate,n_timepoints,auc
DDAC,1g+13,1,62,-0.6254501007761196
DDAC,1g+13,2,62,-0.5202489648747273
DDAC,1g+13,3,62,-0.5769130735960752
DDAC,1g+19.5,1,62,-0.6273825480050451
DDAC,1g+19.5,2,62,-0.6340734410657175
DDAC,1g+19.5,3,62,-0.5757906110096224
DDAC,1g+6.5,1,62,-0.5483220868953453
DDAC,1g+6.5,2,62,-0.6942566985454929
DDAC,1g+6.5,3,62,-0.6813646679896774
DDAC,Ctrl,1,62,-0.5861009348642889
DDAC,Ctrl,2,62,-0.5596263847150516
DDAC,Ctrl,3,62,-0.5935537302311241
DDAC,SMG,1,62,-0.5568167840793955
DDAC,SMG,2,62,-0.6060447246591856
DDAC,SMG,3,62,-0.5625493800442732
DDAC,SMG+13,1,62,-0.5774734833351969
DDAC,SMG+13,2,62,-0.5105530694976944
DDAC,SMG+13,3,62,-0.6304185689157511
DDAC,SMG+19.5,1,62,-0.6209817922521808
DDAC,SMG+19.5,2,62,-0.6821278030083341
DDAC,SMG+19.5,3,62,-0.7738506985074692
DDAC,SMG+6.5,1,62,-0.5264466739745286
DDAC,SMG+6.5,2,62,-0.4978319493145874
DDAC,SMG+6.5,3,62,-0.5675567493319005
Gentamicin,1g+13,1,62,-0.1466435420948354
Gentamicin,1g+13,2,62,-0.14772781140811111
Gentamicin,1g+13,3,62,-0.20447923281325645
Gentamicin,1g+19.5,1,62,-0.22253684902652826
Gentamicin,1g+19.5,2,62,-0.21233529124757183
Gentamicin,1g+19.5,3,62,-0.23377082652895428
Gentamicin,1g+6.5,1,62,-0.18237755145701812
Gentamicin,1g+6.5,2,62,-0.1424109610641053
Gentamicin,1g+6.5,3,62,-0.2432573144412549
Gentamicin,Ctrl,1,62,-0.1762992173104191
Gentamicin,Ctrl,2,62,-0.22481654757906436
Gentamicin,Ctrl,3,62,-0.1513413120722305
Gentamicin,SMG,1,62,-0.1766772091962689
Gentamicin,SMG,2,62,-0.16735509631278586
Gentamicin,SMG,3,62,-0.188235982501928
Gentamicin,SMG+13,1,62,-0.13921873543710866
Gentamicin,SMG+13,2,62,-0.2689461116574266
Gentamicin,SMG+13,3,62,-0.2307865068082336
Gentamicin,SMG+19.5,1,62,-0.3101114616224226
Gentamicin,SMG+19.5,2,62,-0.31006546191576667
Gentamicin,SMG+19.5,3,62,-0.3012770084969736
Gentamicin,SMG+6.5,1,62,-0.16532978678745383
Gentamicin,SMG+6.5,2,62,-0.1683926807143093
Gentamicin,SMG+6.5,3,62,-0.15852152186123036
H2O2,1g+13,1,62,-0.13059518129081701
H2O2,1g+13,2,62,-0.3329540450301944
H2O2,1g+13,3,62,-0.3321176044746925
H2O2,1g+19.5,1,62,-0.2189286481019107
H2O2,1g+19.5,2,62,-0.07053721980842072
H2O2,1g+19.5,3,62,-0.14441412013592234
H2O2,1g+6.5,1,62,-0.386601079418147
H2O2,1g+6.5,2,62,-0.13919760376605506
H2O2,1g+6.5,3,62,-0.3515795904948674
H2O2,Ctrl,1,62,-0.31631754490285036
H2O2,Ctrl,2,62,-0.3819707722486433
H2O2,Ctrl,3,62,-0.5236035744162963
H2O2,SMG,1,62,-0.45670540260645204
H2O2,SMG,2,62,-0.35862750230970986
H2O2,SMG,3,62,-0.43100076455815545
H2O2,SMG+13,1,62,-0.28151557515718123
H2O2,SMG+13,2,62,-0.4722533842892698
H2O2,SMG+13,3,62,-0.3588369330932986
H2O2,SMG+19.5,1,62,-0.028585832707260814
H2O2,SMG+19.5,2,62,-0.16865993516976585
H2O2,SMG+19.5,3,62,-0.21347016773107277
H2O2,SMG+6.5,1,62,-0.305296416240436
H2O2,SMG+6.5,2,62,-0.4652613775171175
H2O2,SMG+6.5,3,62,-0.27345726432729356
NaHCO3,1g+13,1,62,-0.05196047805361729
NaHCO3,1g+13,2,62,-0.0665104932505027
NaHCO3,1g+13,3,62,-0.06873377609276514
NaHCO3,1g+19.5,1,62,-0.0657779790302373
NaHCO3,1g+19.5,2,62,-0.018855181329580254
NaHCO3,1g+19.5,3,62,-0.052611807580776895
NaHCO3,1g+6.5,1,62,-0.0958518185248043
NaHCO3,1g+6.5,2,62,-0.06476571108493588
NaHCO3,1g+6.5,3,62,-0.03773430416337827
NaHCO3,Ctrl,1,62,-0.11879479249680373
NaHCO3,Ctrl,2,62,-0.07540678982849555
NaHCO3,Ctrl,3,62,-0.08884510024589627
NaHCO3,SMG,1,62,-0.07973002501297907
NaHCO3,SMG,2,62,-0.10886079521465408
NaHCO3,SMG,3,62,-0.11715531177979006
NaHCO3,SMG+13,1,62,-0.0657779790302373
NaHCO3,SMG+13,2,62,-0.018855181329580254
NaHCO3,SMG+13,3,62,-0.052611807580776895
NaHCO3,SMG+19.5,1,62,-0.030091953856850286
NaHCO3,SMG+19.5,2,62,-0.023484364551416243
NaHCO3,SMG+19.5,3,62,-0.030611534064584344
NaHCO3,SMG+6.5,1,62,-0.12917431798160545
NaHCO3,SMG+6.5,2,62,-0.09740328163581774
NaHCO3,SMG+6.5,3,62,-0.0826802690819516
ctrl1,1g+13,1,62,-0.041444392830888833
ctrl1,1g+13,2,62,-0.0794833130435758
ctrl1,1g+13,3,62,-0.15723034966005262
ctrl1,1g+19.5,1,62,-0.0063578270905759
ctrl1,1g+19.5,2,62,-0.007375498955562706
ctrl1,1g+19.5,3,62,-0.039433177461559714
ctrl1,1g+6.5,1,62,-0.015699698280041335
ctrl1,1g+6.5,2,62,0.2492510959142052
ctrl1,1g+6.5,3,62,-0.07687046932459916
ctrl1,Ctrl,1,62,-0.016266191467570707
ctrl1,Ctrl,2,62,0.03210318699163524
ctrl1,Ctrl,3,62,0.08341223420764435
ctrl1,SMG,1,62,-0.035704230767617806
ctrl1,SMG,2,62,-0.004057874068630634
ctrl1,SMG,3,62,0.01736268913019827
ctrl1,SMG+13,1,62,0.3061812349009074
ctrl1,SMG+13,2,62,0.502449923024368
ctrl1,SMG+13,3,62,0.6622394011701646
ctrl1,SMG+19.5,1,62,-0.07428983182215519
ctrl1,SMG+19.5,2,62,-0.045521242874674836
ctrl1,SMG+19.5,3,62,-0.07052520943705637
ctrl1,SMG+6.5,1,62,0.32961547580230316
ctrl1,SMG+6.5,2,62,0.08004154406998376
ctrl1,SMG+6.5,3,62,0.029335275765186686
ctrl2,1g+13,1,62,-0.0772768266972016
ctrl2,1g+13,2,62,-0.22657785568901262
ctrl2,1g+13,3,62,0.015427183548366492
ctrl2,1g+19.5,1,62,-0.2332103521159415
ctrl2,1g+19.5,2,62,-0.2013859257553503
ctrl2,1g+19.5,3,62,-0.19967993987037727
ctrl2,1g+6.5,1,62,-0.2589877011942026
ctrl2,1g+6.5,2,62,-0.05904664220141585
ctrl2,1g+6.5,3,62,-0.2223313713197865
ctrl2,Ctrl,1,62,0.12092696289652735
ctrl2,Ctrl,2,62,-0.06925029911545502
ctrl2,Ctrl,3,62,0.021533719129824647
ctrl2,SMG,1,62,-0.10598342992924922
ctrl2,SMG,2,62,-0.04661406823686193
ctrl2,SMG,3,62,0.08140821624660136
ctrl2,SMG+13,1,62,-0.06725561725837345
ctrl2,SMG+13,2,62,-0.07227872476027121
ctrl2,SMG+13,3,62,-0.24153178477824364
ctrl2,SMG+19.5,1,62,-0.17178360490851058
ctrl2,SMG+19.5,2,62,-0.09414452371898073
ctrl2,SMG+19.5,3,62,-0.12113603678395392
ctrl2,SMG+6.5,1,62,0.2042454451977046
ctrl2,SMG+6.5,2,62,-0.18866344284343026
ctrl2,SMG+6.5,3,62,-0.11824273077617739
