run,group,n,mean_auc,sd_auc,se_auc
DDAC,1g+13,3,-0.5742040464156407,0.05265286193488494,0.03039914401171002
DDAC,1g+19.5,3,-0.6124155333601283,0.03189405454583631,0.018414040977587202
DDAC,1g+6.5,3,-0.6413144844768386,0.0807913399995872,0.04664490189695225
DDAC,Ctrl,3,-0.5797603499368216,0.01783026798336364,0.010294310019918164
DDAC,SMG,3,-0.5751369629276181,0.026919936210281836,0.015542232417573772
DDAC,SMG+13,3,-0.5728150405828808,0.060068380237380224,0.03468049549983627
DDAC,SMG+19.5,3,-0.6923200979226614,0.07694243160725758,0.044422733600554536
DDAC,SMG+6.5,3,-0.5306117908736722,0.035048510431275444,0.020235266932192287
Gentamicin,1g+13,3,-0.16628352877206765,0.03308289233709006,0.019100416796390355
Gentamicin,1g+19.5,3,-0.22288098893435146,0.010721910622970393,0.006190297984399065
Gentamicin,1g+6.5,3,-0.18934860898745945,0.05078329922018433,0.029319751475110737
Gentamicin,Ctrl,3,-0.18415235898723797,0.037361831243172716,0.021570863325663138
Gentamicin,SMG,3,-0.17742276267032758,0.010460389070105729,0.006039308445453762
Gentamicin,SMG+13,3,-0.2129837846342563,0.06667083862420545,0.038492426626783115
Gentamicin,SMG+19.5,3,-0.30715131067838763,0.005087346909949953,0.002937181107920616
Gentamicin,SMG+6.5,3,-0.1640813297876645,0.005052615949775114,0.002917129178714459
H2O2,1g+13,3,-0.2652222769319013,0.11659123495686098,0.0673139808874946
H2O2,1g+19.5,3,-0.14462666268208457,0.07419594246652537,0.04283704735582641
H2O2,1g+6.5,3,-0.2924594245596898,0.13387873414525553,0.07729492319752963
H2O2,Ctrl,3,-0.40729729718926333,0.10593842153363522,0.061163576189968344
H2O2,SMG,3,-0.41544455649143913,0.05085582895515177,0.02936162653711844
H2O2,SMG+13,3,-0.3708686308465832,0.09593643349242796,0.05538892570194592
H2O2,SMG+19.5,3,-0.13690531186936647,0.09644595071858635,0.05568309560962521
H2O2,SMG+6.5,3,-0.3480050193616157,0.10278727082939564,0.05934425848261854
NaHCO3,1g+13,3,-0.06240158246562838,0.009110337131855368,0.00525985559548494
NaHCO3,1g+19.5,3,-0.04574832264686482,0.024202640457039497,0.013973400982971482
NaHCO3,1g+6.5,3,-0.06611727792437282,0.02908232140972827,0.016790686094565833
NaHCO3,Ctrl,3,-0.09434889419039852,0.022211449856412664,0.012823786553691726
NaHCO3,SMG,3,-0.10191537733580774,0.01965558812471299,0.011348159094883457
NaHCO3,SMG+13,3,-0.04574832264686482,0.024202640457039497,0.013973400982971482
NaHCO3,SMG+19.5,3,-0.028062617490950292,0.003973385317563772,0.0022940350826895503
NaHCO3,SMG+6.5,3,-0.10308595623312493,0.023762233453634173,0.013719131881002421
ctrl1,1g+13,3,-0.09271935184483908,0.05901687463829862,0.034073408459152105
ctrl1,1g+19.5,3,-0.01772216783589944,0.018809169791097407,0.010859479242123465
ctrl1,1g+6.5,3,0.05222697610318823,0.1733474650752814,0.10008220562455297
ctrl1,Ctrl,3,0.03308307657723629,0.04984643692353868,0.028778853775948757
ctrl1,SMG,3,-0.007466471902016723,0.026697160921203403,0.015413613044455543
ctrl1,SMG+13,3,0.49029018636514665,0.17834026140631484,0.10296479793028411
ctrl1,SMG+19.5,3,-0.0634454280446288,0.015636508751338804,0.009027742536771398
ctrl1,SMG+6.5,3,0.1463307652124912,0.1607412369721686,0.09280399643575497
ctrl2,1g+13,3,-0.09614249961261591,0.12210055268091499,0.07049478695852836
ctrl2,1g+19.5,3,-0.2114254059138897,0.018885589949208633,0.010903600440980496
ctrl2,1g+6.5,3,-0.180121904905135,0.10644405130887519,0.06145550167681343
ctrl2,Ctrl,3,0.02440346097029899,0.09512110339071334,0.054918194648242574
ctrl2,SMG,3,-0.023729760639836596,0.0957688671477858,0.05529218122775965
ctrl2,SMG+13,3,-0.12702204226562944,0.0992001449090313,0.057273230366879105
ctrl2,SMG+19.5,3,-0.12902138847048175,0.03941561632657509,0.022756616696423135
ctrl2,SMG+6.5,3,-0.034220242807301016,0.2094974521057243,0.12095341036778066
