treatment,group,rep,auc
Combined baseline,Ctrl,combined mean,0.028743268773767632
Combined baseline,1g+6.5,combined mean,-0.06394746440097329
Combined baseline,1g+13,combined mean,-0.0944309257287275
Combined baseline,1g+19.5,combined mean,-0.11457378687489453
Combined baseline,SMG,combined mean,-0.015598116270926646
Combined baseline,SMG+6.5,combined mean,0.056055261202595116
Combined baseline,SMG+13,combined mean,0.18163407204975865
Combined baseline,SMG+19.5,combined mean,-0.09623340825755525
H2O2,1g+13,SR（13 Gy）-1,-0.13059518129081701
H2O2,1g+13,SR（13 Gy）-2,-0.3329540450301944
H2O2,1g+13,SR（13 Gy）-3,-0.3321176044746925
H2O2,1g+19.5,SR（19.5 Gy）-1,-0.2189286481019107
H2O2,1g+19.5,SR（19.5 Gy）-2,-0.07053721980842072
H2O2,1g+19.5,SR（19.5 Gy）-3,-0.14441412013592234
H2O2,1g+6.5,SR（6.5 Gy）-1,-0.386601079418147
H2O2,1g+6.5,SR（6.5 Gy）-2,-0.13919760376605506
H2O2,1g+6.5,SR（6.5 Gy）-3,-0.3515795904948674
H2O2,Ctrl,Ctrl-1,-0.31631754490285036
H2O2,Ctrl,Ctrl-2,-0.3819707722486433
H2O2,Ctrl,Ctrl-3,-0.5236035744162963
H2O2,SMG,SMG-1,-0.45670540260645204
H2O2,SMG,SMG-2,-0.35862750230970986
H2O2,SMG,SMG-3,-0.43100076455815545
H2O2,SMG+13,SMG+SR（13 Gy）-1,-0.28151557515718123
H2O2,SMG+13,SMG+SR（13 Gy）-2,-0.4722533842892698
H2O2,SMG+13,SMG+SR（13 Gy）-3,-0.3588369330932986
H2O2,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.028585832707260814
H2O2,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.16865993516976585
H2O2,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.21347016773107277
H2O2,SMG+6.5,SMG+SR（6.5 Gy）-1,-0.305296416240436
H2O2,SMG+6.5,SMG+SR（6.5 Gy）-2,-0.4652613775171175
H2O2,SMG+6.5,SMG+SR（6.5 Gy）-3,-0.27345726432729356
Gentamicin,1g+13,SR（13 Gy）-1,-0.1466435420948354
Gentamicin,1g+13,SR（13 Gy）-2,-0.14772781140811111
Gentamicin,1g+13,SR（13 Gy）-3,-0.20447923281325645
Gentamicin,1g+19.5,SR（19.5 Gy）-1,-0.22253684902652826
Gentamicin,1g+19.5,SR（19.5 Gy）-2,-0.21233529124757183
Gentamicin,1g+19.5,SR（19.5 Gy）-3,-0.23377082652895428
Gentamicin,1g+6.5,SR（6.5 Gy）-1,-0.18237755145701812
Gentamicin,1g+6.5,SR（6.5 Gy）-2,-0.1424109610641053
Gentamicin,1g+6.5,SR（6.5 Gy）-3,-0.2432573144412549
Gentamicin,Ctrl,Ctrl-1,-0.1762992173104191
Gentamicin,Ctrl,Ctrl-2,-0.22481654757906436
Gentamicin,Ctrl,Ctrl-3,-0.1513413120722305
Gentamicin,SMG,SMG-1,-0.1766772091962689
Gentamicin,SMG,SMG-2,-0.16735509631278586
Gentamicin,SMG,SMG-3,-0.188235982501928
Gentamicin,SMG+13,SMG+SR（13 Gy）-1,-0.13921873543710866
Gentamicin,SMG+13,SMG+SR（13 Gy）-2,-0.2689461116574266
Gentamicin,SMG+13,SMG+SR（13 Gy）-3,-0.2307865068082336
Gentamicin,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.3101114616224226
Gentamicin,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.31006546191576667
Gentamicin,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.3012770084969736
Gentamicin,SMG+6.5,SMG+SR（6.5 Gy）-1,-0.16532978678745383
Gentamicin,SMG+6.5,SMG+SR（6.5 Gy）-2,-0.1683926807143093
Gentamicin,SMG+6.5,SMG+SR（6.5 Gy）-3,-0.15852152186123036
DDAC,1g+13,SR（13 Gy）-1,-0.6254501007761196
DDAC,1g+13,SR（13 Gy）-2,-0.5202489648747273
DDAC,1g+13,SR（13 Gy）-3,-0.5769130735960752
DDAC,1g+19.5,SR（19.5 Gy）-1,-0.6273825480050451
DDAC,1g+19.5,SR（19.5 Gy）-2,-0.6340734410657175
DDAC,1g+19.5,SR（19.5 Gy）-3,-0.5757906110096224
DDAC,1g+6.5,SR（6.5 Gy）-1,-0.5483220868953453
DDAC,1g+6.5,SR（6.5 Gy）-2,-0.6942566985454929
DDAC,1g+6.5,SR（6.5 Gy）-3,-0.6813646679896774
DDAC,Ctrl,Ctrl-1,-0.5861009348642889
DDAC,Ctrl,Ctrl-2,-0.5596263847150516
DDAC,Ctrl,Ctrl-3,-0.5935537302311241
DDAC,SMG,SMG-1,-0.5568167840793955
DDAC,SMG,SMG-2,-0.6060447246591856
DDAC,SMG,SMG-3,-0.5625493800442732
DDAC,SMG+13,SMG+SR（13 Gy）-1,-0.5774734833351969
DDAC,SMG+13,SMG+SR（13 Gy）-2,-0.5105530694976944
DDAC,SMG+13,SMG+SR（13 Gy）-3,-0.6304185689157511
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.6209817922521808
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.6821278030083341
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.7738506985074692
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-1,-0.5264466739745286
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-2,-0.4978319493145874
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-3,-0.5675567493319005
NaHCO3,1g+13,SR（13 Gy）-1,-0.05196047805361729
NaHCO3,1g+13,SR（13 Gy）-2,-0.0665104932505027
NaHCO3,1g+13,SR（13 Gy）-3,-0.06873377609276514
NaHCO3,1g+19.5,SR（19.5 Gy）-1,-0.0657779790302373
NaHCO3,1g+19.5,SR（19.5 Gy）-2,-0.018855181329580254
NaHCO3,1g+19.5,SR（19.5 Gy）-3,-0.052611807580776895
NaHCO3,1g+6.5,SR（6.5 Gy）-1,-0.0958518185248043
NaHCO3,1g+6.5,SR（6.5 Gy）-2,-0.06476571108493588
NaHCO3,1g+6.5,SR（6.5 Gy）-3,-0.03773430416337827
NaHCO3,Ctrl,Ctrl-1,-0.11879479249680373
NaHCO3,Ctrl,Ctrl-2,-0.07540678982849555
NaHCO3,Ctrl,Ctrl-3,-0.08884510024589627
NaHCO3,SMG,SMG-1,-0.07973002501297907
NaHCO3,SMG,SMG-2,-0.10886079521465408
NaHCO3,SMG,SMG-3,-0.11715531177979006
NaHCO3,SMG+13,SMG+SR（13 Gy）-1,-0.0657779790302373
NaHCO3,SMG+13,SMG+SR（13 Gy）-2,-0.018855181329580254
NaHCO3,SMG+13,SMG+SR（13 Gy）-3,-0.052611807580776895
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.030091953856850286
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.023484364551416243
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.030611534064584344
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-1,-0.12917431798160545
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-2,-0.09740328163581774
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-3,-0.0826802690819516
