treatment,group,rep,challenge_AUC,baseline_AUC,net_AUC
DDAC,1g+0,Ctrl-1,-0.5861009348642889,0.028743268773767632,0.6148442036380566
DDAC,1g+0,Ctrl-2,-0.5596263847150516,0.028743268773767632,0.5883696534888192
DDAC,1g+0,Ctrl-3,-0.5935537302311241,0.028743268773767632,0.6222969990048918
DDAC,1g+6.5,SR（6.5 Gy）-1,-0.5483220868953453,-0.06394746440097329,0.484374622494372
DDAC,1g+6.5,SR（6.5 Gy）-2,-0.6942566985454929,-0.06394746440097329,0.6303092341445196
DDAC,1g+6.5,SR（6.5 Gy）-3,-0.6813646679896774,-0.06394746440097329,0.6174172035887041
DDAC,1g+13,SR（13 Gy）-1,-0.6254501007761196,-0.0944309257287275,0.5310191750473922
DDAC,1g+13,SR（13 Gy）-2,-0.5202489648747273,-0.0944309257287275,0.4258180391459998
DDAC,1g+13,SR（13 Gy）-3,-0.5769130735960752,-0.0944309257287275,0.4824821478673478
DDAC,1g+19.5,SR（19.5 Gy）-1,-0.6273825480050451,-0.11457378687489453,0.5128087611301506
DDAC,1g+19.5,SR（19.5 Gy）-2,-0.6340734410657175,-0.11457378687489453,0.519499654190823
DDAC,1g+19.5,SR（19.5 Gy）-3,-0.5757906110096224,-0.11457378687489453,0.46121682413472787
DDAC,SMG+0,SMG-1,-0.5568167840793955,-0.015598116270926646,0.5412186678084688
DDAC,SMG+0,SMG-2,-0.6060447246591856,-0.015598116270926646,0.5904466083882589
DDAC,SMG+0,SMG-3,-0.5625493800442732,-0.015598116270926646,0.5469512637733466
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-1,-0.5264466739745286,0.056055261202595116,0.5825019351771237
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-2,-0.4978319493145874,0.056055261202595116,0.5538872105171825
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-3,-0.5675567493319005,0.056055261202595116,0.6236120105344956
DDAC,SMG+13,SMG+SR（13 Gy）-1,-0.5774734833351969,0.18163407204975865,0.7591075553849556
DDAC,SMG+13,SMG+SR（13 Gy）-2,-0.5105530694976944,0.18163407204975865,0.6921871415474531
DDAC,SMG+13,SMG+SR（13 Gy）-3,-0.6304185689157511,0.18163407204975865,0.8120526409655098
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.6209817922521808,-0.09623340825755525,0.5247483839946255
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.6821278030083341,-0.09623340825755525,0.5858943947507789
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.7738506985074692,-0.09623340825755525,0.677617290249914
NaHCO3,1g+0,Ctrl-1,-0.11879479249680373,0.028743268773767632,0.14753806127057137
NaHCO3,1g+0,Ctrl-2,-0.07540678982849555,0.028743268773767632,0.10415005860226319
NaHCO3,1g+0,Ctrl-3,-0.08884510024589627,0.028743268773767632,0.11758836901966391
NaHCO3,1g+6.5,SR（6.5 Gy）-1,-0.0958518185248043,-0.06394746440097329,0.03190435412383101
NaHCO3,1g+6.5,SR（6.5 Gy）-2,-0.06476571108493588,-0.06394746440097329,8.182466839625896e-4
NaHCO3,1g+6.5,SR（6.5 Gy）-3,-0.03773430416337827,-0.06394746440097329,-0.02621316023759502
NaHCO3,1g+13,SR（13 Gy）-1,-0.05196047805361729,-0.0944309257287275,-0.042470447675110205
NaHCO3,1g+13,SR（13 Gy）-2,-0.0665104932505027,-0.0944309257287275,-0.027920432478224788
NaHCO3,1g+13,SR（13 Gy）-3,-0.06873377609276514,-0.0944309257287275,-0.025697149635962355
NaHCO3,1g+19.5,SR（19.5 Gy）-1,-0.0657779790302373,-0.11457378687489453,-0.04879580784465723
NaHCO3,1g+19.5,SR（19.5 Gy）-2,-0.018855181329580254,-0.11457378687489453,-0.09571860554531428
NaHCO3,1g+19.5,SR（19.5 Gy）-3,-0.052611807580776895,-0.11457378687489453,-0.06196197929411763
NaHCO3,SMG+0,SMG-1,-0.07973002501297907,-0.015598116270926646,0.06413190874205242
NaHCO3,SMG+0,SMG-2,-0.10886079521465408,-0.015598116270926646,0.09326267894372743
NaHCO3,SMG+0,SMG-3,-0.11715531177979006,-0.015598116270926646,0.10155719550886341
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-1,-0.12917431798160545,0.056055261202595116,0.18522957918420058
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-2,-0.09740328163581774,0.056055261202595116,0.15345854283841287
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-3,-0.0826802690819516,0.056055261202595116,0.13873553028454672
NaHCO3,SMG+13,SMG+SR（13 Gy）-1,-0.0657779790302373,0.18163407204975865,0.24741205107999595
NaHCO3,SMG+13,SMG+SR（13 Gy）-2,-0.018855181329580254,0.18163407204975865,0.2004892533793389
NaHCO3,SMG+13,SMG+SR（13 Gy）-3,-0.052611807580776895,0.18163407204975865,0.23424587963053556
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.030091953856850286,-0.09623340825755525,-0.06614145440070496
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.023484364551416243,-0.09623340825755525,-0.07274904370613901
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.030611534064584344,-0.09623340825755525,-0.0656218741929709
