time_min,rep,relative_OD,group,treatment,time_h
0,Ctrl-1,0,1g+0,DDAC,0
0,Ctrl-2,0,1g+0,DDAC,0
0,Ctrl-3,0,1g+0,DDAC,0
20,Ctrl-1,-0.13981474640829875,1g+0,DDAC,0.3333333333333333
20,Ctrl-2,-0.15302240053773036,1g+0,DDAC,0.3333333333333333
20,Ctrl-3,-0.1680551224347332,1g+0,DDAC,0.3333333333333333
40,Ctrl-1,-0.26088808188945545,1g+0,DDAC,0.6666666666666666
40,Ctrl-2,-0.26200960236089765,1g+0,DDAC,0.6666666666666666
40,Ctrl-3,-0.27779491870246326,1g+0,DDAC,0.6666666666666666
60,Ctrl-1,-0.3350016413332658,1g+0,DDAC,1
60,Ctrl-2,-0.33877098465896216,1g+0,DDAC,1
60,Ctrl-3,-0.35328604399807356,1g+0,DDAC,1
80,Ctrl-1,-0.4013417169539198,1g+0,DDAC,1.3333333333333333
80,Ctrl-2,-0.39171335558048526,1g+0,DDAC,1.3333333333333333
80,Ctrl-3,-0.40635606330291574,1g+0,DDAC,1.3333333333333333
100,Ctrl-1,-0.4471302182782837,1g+0,DDAC,1.6666666666666667
100,Ctrl-2,-0.42023619474207374,1g+0,DDAC,1.6666666666666667
100,Ctrl-3,-0.457574801438922,1g+0,DDAC,1.6666666666666667
120,Ctrl-1,-0.48482591839133604,1g+0,DDAC,2
120,Ctrl-2,-0.49109288744540813,1g+0,DDAC,2
120,Ctrl-3,-0.4901779232069268,1g+0,DDAC,2
140,Ctrl-1,-0.5187945987568523,1g+0,DDAC,2.3333333333333335
140,Ctrl-2,-0.49179344484906024,1g+0,DDAC,2.3333333333333335
140,Ctrl-3,-0.5194898546126046,1g+0,DDAC,2.3333333333333335
160,Ctrl-1,-0.5215632220501764,1g+0,DDAC,2.6666666666666665
160,Ctrl-2,-0.5024019025764698,1g+0,DDAC,2.6666666666666665
160,Ctrl-3,-0.5409852893675869,1g+0,DDAC,2.6666666666666665
180,Ctrl-1,-0.5388137869963244,1g+0,DDAC,3
180,Ctrl-2,-0.5249199256445172,1g+0,DDAC,3
180,Ctrl-3,-0.5508587991518396,1g+0,DDAC,3
200,Ctrl-1,-0.5609626464029921,1g+0,DDAC,3.3333333333333335
200,Ctrl-2,-0.5362289706017631,1g+0,DDAC,3.3333333333333335
200,Ctrl-3,-0.5656690178511711,1g+0,DDAC,3.3333333333333335
220,Ctrl-1,-0.5577680761822358,1g+0,DDAC,3.6666666666666665
220,Ctrl-2,-0.5391312968889976,1g+0,DDAC,3.6666666666666665
220,Ctrl-3,-0.5762624669064871,1g+0,DDAC,3.6666666666666665
240,Ctrl-1,-0.5706527644596637,1g+0,DDAC,4
240,Ctrl-2,-0.5600480416306711,1g+0,DDAC,4
240,Ctrl-3,-0.5865473486660865,1g+0,DDAC,4
260,Ctrl-1,-0.5655414965354292,1g+0,DDAC,4.333333333333333
260,Ctrl-2,-0.5579463395935308,1g+0,DDAC,4.333333333333333
260,Ctrl-3,-0.5847989334796099,1g+0,DDAC,4.333333333333333
280,Ctrl-1,-0.5651155496079971,1g+0,DDAC,4.666666666666667
280,Ctrl-2,-0.5464371311172161,1g+0,DDAC,4.666666666666667
280,Ctrl-3,-0.5916897895458856,1g+0,DDAC,4.666666666666667
300,Ctrl-1,-0.6018528532668376,1g+0,DDAC,5
300,Ctrl-2,-0.5640512225335153,1g+0,DDAC,5
300,Ctrl-3,-0.611539644445387,1g+0,DDAC,5
320,Ctrl-1,-0.6097327444843971,1g+0,DDAC,5.333333333333333
320,Ctrl-2,-0.5664531549361678,1g+0,DDAC,5.333333333333333
320,Ctrl-3,-0.6023861045835621,1g+0,DDAC,5.333333333333333
340,Ctrl-1,-0.6033436357778662,1g+0,DDAC,5.666666666666667
340,Ctrl-2,-0.5695556447424732,1g+0,DDAC,5.666666666666667
340,Ctrl-3,-0.6067057402099383,1g+0,DDAC,5.666666666666667
360,Ctrl-1,-0.6111170243960772,1g+0,DDAC,6
360,Ctrl-2,-0.5596477145925324,1g+0,DDAC,6
360,Ctrl-3,-0.6015632993301391,1g+0,DDAC,6
380,Ctrl-1,-0.6104781357399115,1g+0,DDAC,6.333333333333333
380,Ctrl-2,-0.5740592493560828,1g+0,DDAC,6.333333333333333
380,Ctrl-3,-0.6035174158299706,1g+0,DDAC,6.333333333333333
400,Ctrl-1,-0.6284740919415739,1g+0,DDAC,6.666666666666667
400,Ctrl-2,-0.5670536454933774,1g+0,DDAC,6.666666666666667
400,Ctrl-3,-0.6068086061922988,1g+0,DDAC,6.666666666666667
420,Ctrl-1,-0.5880098002701791,1g+0,DDAC,7
420,Ctrl-2,-0.5749599702788045,1g+0,DDAC,7
420,Ctrl-3,-0.6290239495669788,1g+0,DDAC,7
440,Ctrl-1,-0.6325205242822117,1g+0,DDAC,7.333333333333333
440,Ctrl-2,-0.6003802898079044,1g+0,DDAC,7.333333333333333
440,Ctrl-3,-0.6066029048789428,1g+0,DDAC,7.333333333333333
460,Ctrl-1,-0.6023852710586358,1g+0,DDAC,7.666666666666667
460,Ctrl-2,-0.5799639687769962,1g+0,DDAC,7.666666666666667
460,Ctrl-3,-0.6075285454633612,1g+0,DDAC,7.666666666666667
480,Ctrl-1,-0.626344389039397,1g+0,DDAC,8
480,Ctrl-2,-0.6151921516095944,1g+0,DDAC,8
480,Ctrl-3,-0.6311837980315324,1g+0,DDAC,8
500,Ctrl-1,-0.6008944885476071,1g+0,DDAC,8.333333333333334
500,Ctrl-2,-0.5999799925959478,1g+0,DDAC,8.333333333333334
500,Ctrl-3,-0.6248071492715981,1g+0,DDAC,8.333333333333334
520,Ctrl-1,-0.6297519009888877,1g+0,DDAC,8.666666666666666
520,Ctrl-2,-0.5850680341216321,1g+0,DDAC,8.666666666666666
520,Ctrl-3,-0.6228530327717654,1g+0,DDAC,8.666666666666666
540,Ctrl-1,-0.6013204354750381,1g+0,DDAC,9
540,Ctrl-2,-0.5994795688851824,1g+0,DDAC,9
540,Ctrl-3,-0.6264527291270792,1g+0,DDAC,9
560,Ctrl-1,-0.5889681649894096,1g+0,DDAC,9.333333333333334
560,Ctrl-2,-0.5849679672751886,1g+0,DDAC,9.333333333333334
560,Ctrl-3,-0.6336521524890715,1g+0,DDAC,9.333333333333334
580,Ctrl-1,-0.6085614063014506,1g+0,DDAC,9.666666666666666
580,Ctrl-2,-0.5869695726397024,1g+0,DDAC,9.666666666666666
