sample,PC1,PC2,gravity,dose,timepoint,dose_f,PC1_percent,PC2_percent
Ctrl13-1,-13.513426543727707,-9.891180965520773,1g,13,3h,13,29.853747344504598,11.900191009863475
Ctrl13-2,-11.86986273223463,-20.71240393313321,1g,13,3h,13,29.853747344504598,11.900191009863475
Ctrl13-3,30.858091559067333,-5.56331089565884,1g,13,3h,13,29.853747344504598,11.900191009863475
Ctrl19_5-1,-4.052731064849311,-8.65151622824578,1g,19.5,3h,19.5,29.853747344504598,11.900191009863475
Ctrl19_5-2,-1.8706975519147155,-2.925459522251666,1g,19.5,3h,19.5,29.853747344504598,11.900191009863475
Ctrl19_5-3,-6.237484850772056,10.641073696156349,1g,19.5,3h,19.5,29.853747344504598,11.900191009863475
Ctrl-1,39.63316026011098,-4.046233596615931,1g,0,3h,0,29.853747344504598,11.900191009863475
Ctrl-2,-11.836667493463462,-20.9498948526702,1g,0,3h,0,29.853747344504598,11.900191009863475
Ctrl-3,-13.762666638432407,-11.227865917378281,1g,0,3h,0,29.853747344504598,11.900191009863475
Ctrl6_5-1,-9.862705976945762,-8.139632801077877,1g,6.5,3h,6.5,29.853747344504598,11.900191009863475
Ctrl6_5-2,16.279715927946288,-0.7627592704092562,1g,6.5,3h,6.5,29.853747344504598,11.900191009863475
Ctrl6_5-3,-8.044620756102624,3.9158938106745507,1g,6.5,3h,6.5,29.853747344504598,11.900191009863475
SMG-1,-5.477676774371071,-19.600775048314098,SMG,0,3h,0,29.853747344504598,11.900191009863475
SMG-2,38.848785991042774,1.5312705523382875,SMG,0,3h,0,29.853747344504598,11.900191009863475
SMG-3,-12.178626766529264,9.774129819022807,SMG,0,3h,0,29.853747344504598,11.900191009863475
SMG13-1,-9.271397993455354,12.099893020857309,SMG,13,3h,13,29.853747344504598,11.900191009863475
SMG13-2,34.80560359617894,8.255790711454411,SMG,13,3h,13,29.853747344504598,11.900191009863475
SMG13-3,25.78872370281795,0.9730200025888458,SMG,13,3h,13,29.853747344504598,11.900191009863475
SMG19_5-1,-7.312897999872293,21.132888552518384,SMG,19.5,3h,19.5,29.853747344504598,11.900191009863475
SMG19_5-2,-17.740239941913067,10.03280999490781,SMG,19.5,3h,19.5,29.853747344504598,11.900191009863475
SMG19_5-3,-14.965794744076048,10.16070099311778,SMG,19.5,3h,19.5,29.853747344504598,11.900191009863475
SMG6_5-1,-17.82862245264838,-8.127133362679377,SMG,6.5,3h,6.5,29.853747344504598,11.900191009863475
SMG6_5-2,-15.2637730736727,20.168193070579832,SMG,6.5,3h,6.5,29.853747344504598,11.900191009863475
SMG6_5-3,-5.124187682183478,11.912502169738836,SMG,6.5,3h,6.5,29.853747344504598,11.900191009863475
Ctrl13-1,-10.475416530885472,-12.066940095074537,1g,13,10h,13,24.76383312561833,16.429337606480072
Ctrl13-2,13.388942729913182,-13.41357173867307,1g,13,10h,13,24.76383312561833,16.429337606480072
Ctrl13-3,-2.4427371732475556,-11.246111903644122,1g,13,10h,13,24.76383312561833,16.429337606480072
Ctrl19_5-1,-12.346198359921942,-11.424635055376802,1g,19.5,10h,19.5,24.76383312561833,16.429337606480072
Ctrl19_5-2,-19.03567585851761,-14.552101281112689,1g,19.5,10h,19.5,24.76383312561833,16.429337606480072
Ctrl19_5-3,-20.770835327702976,-11.97249134263353,1g,19.5,10h,19.5,24.76383312561833,16.429337606480072
Ctrl-1,15.88320434041186,-7.144992504363846,1g,0,10h,0,24.76383312561833,16.429337606480072
Ctrl-2,-12.347915522203651,-7.184388316047074,1g,0,10h,0,24.76383312561833,16.429337606480072
Ctrl-3,7.621505376702164,-6.8796442161531335,1g,0,10h,0,24.76383312561833,16.429337606480072
Ctrl6_5-1,8.110847827146966,32.75596237252263,1g,6.5,10h,6.5,24.76383312561833,16.429337606480072
Ctrl6_5-2,-6.439116795689828,7.694801737202587,1g,6.5,10h,6.5,24.76383312561833,16.429337606480072
Ctrl6_5-3,-6.701308269852263,0.4443746922963482,1g,6.5,10h,6.5,24.76383312561833,16.429337606480072
SMG-1,-17.393286431865782,21.535339543059372,SMG,0,10h,0,24.76383312561833,16.429337606480072
SMG-2,6.226905303116956,47.883070601019675,SMG,0,10h,0,24.76383312561833,16.429337606480072
SMG-3,-17.804379672269516,10.16484048019654,SMG,0,10h,0,24.76383312561833,16.429337606480072
SMG13-1,2.0640086142433254,0.8266530364545521,SMG,13,10h,13,24.76383312561833,16.429337606480072
SMG13-2,37.6097703073782,-0.4535037203289409,SMG,13,10h,13,24.76383312561833,16.429337606480072
SMG13-3,35.28932382418347,-5.104282764555304,SMG,13,10h,13,24.76383312561833,16.429337606480072
SMG19_5-1,-28.617338999509474,-1.2567720933209838,SMG,19.5,10h,19.5,24.76383312561833,16.429337606480072
SMG19_5-2,-18.41941809075452,3.395699836633696,SMG,19.5,10h,19.5,24.76383312561833,16.429337606480072
SMG19_5-3,14.79688726463348,-9.487924738979528,SMG,19.5,10h,19.5,24.76383312561833,16.429337606480072
SMG6_5-1,23.95924550440205,-1.9119505987851737,SMG,6.5,10h,6.5,24.76383312561833,16.429337606480072
SMG6_5-2,-15.9765441444057,-3.547995572528099,SMG,6.5,10h,6.5,24.76383312561833,16.429337606480072
SMG6_5-3,23.819530084694627,-7.053436357808597,SMG,6.5,10h,6.5,24.76383312561833,16.429337606480072
