sample,timepoint,gravity,dose_Gy,total_assigned_counts,detected_genes,median_nonzero_count,library_size_factor
Ctrl13-1,3h,1g,13,4532329,3750,140.5,1.0460932274394257
Ctrl13-2,3h,1g,13,3972628,3747,122,0.9169103226919827
Ctrl13-3,3h,1g,13,3944508,3819,142,0.9104200300509152
Ctrl19_5-1,3h,1g,19.5,4050470,3756,164.5,0.9348768006352961
Ctrl19_5-2,3h,1g,19.5,4008311,3746,151,0.9251462086205463
Ctrl19_5-3,3h,1g,19.5,3972443,3759,156,0.9168676233982914
Ctrl-1,3h,1g,0,4894518,3829,197,1.1296889814001507
Ctrl-2,3h,1g,0,4189032,3710,141,0.9668578791890511
Ctrl-3,3h,1g,0,4391083,3711,141,1.0134926629166585
Ctrl6_5-1,3h,1g,6.5,5359635,3736,157,1.23704123752872
Ctrl6_5-2,3h,1g,6.5,4174181,3783,134,0.9634301645371132
Ctrl6_5-3,3h,1g,6.5,5118533,3750,171,1.1813932099203757
SMG-1,3h,SMG,0,5148419,3781,175,1.1882911077109497
SMG-2,3h,SMG,0,5342645,3826,194,1.2331198267189145
SMG-3,3h,SMG,0,5158187,3753,191,1.1905456304178468
SMG13-1,3h,SMG,13,4978826,3737,131,1.149147857359721
SMG13-2,3h,SMG,13,3769674,3825,128,0.8700671202497634
SMG13-3,3h,SMG,13,3718598,3809,127,0.8582784222790962
SMG19_5-1,3h,SMG,19.5,2885281,3718,109,0.6659430313553261
SMG19_5-2,3h,SMG,19.5,3699732,3732,101,0.8539240175505621
SMG19_5-3,3h,SMG,19.5,3482383,3713,122,0.803758348445179
SMG6_5-1,3h,SMG,6.5,5398280,3725,180,1.2459607737703293
SMG6_5-2,3h,SMG,6.5,4152760,3711,153,0.9584860479416543
SMG6_5-3,3h,SMG,6.5,4912432,3751,177,1.1338236578714196
Ctrl13-1,10h,1g,13,7074168,3782,229,1.5254388503135359
Ctrl13-2,10h,1g,13,4177477,3758,156,0.9008106270717968
Ctrl13-3,10h,1g,13,4424531,3776,180,0.9540841384904343
Ctrl19_5-1,10h,1g,19.5,5017423,3757,168,1.0819324580157965
Ctrl19_5-2,10h,1g,19.5,4393346,3748,139,0.9473595582221925
Ctrl19_5-3,10h,1g,19.5,6651911,3771,219,1.4343854242969578
Ctrl-1,10h,1g,0,4581589,3773,158,0.9879513543881262
Ctrl-2,10h,1g,0,4470536,3751,153,0.9640044307861042
Ctrl-3,10h,1g,0,4701581,3791,164,1.0138258400558149
Ctrl6_5-1,10h,1g,6.5,4253001,3766,162.5,0.9170962515764848
Ctrl6_5-2,10h,1g,6.5,3607013,3752,130,0.7777985713353115
Ctrl6_5-3,10h,1g,6.5,4477245,3790,172,0.9654511266020296
SMG-1,10h,SMG,0,3701576,3715,103,0.7981896723103235
SMG-2,10h,SMG,0,4087234,3751,155,0.8813510696837273
SMG-3,10h,SMG,0,3798499,3692,99,0.8190896720967208
SMG13-1,10h,SMG,13,4513161,3777,178,0.9731958764790273
SMG13-2,10h,SMG,13,4375628,3795,181,0.9435389357051905
SMG13-3,10h,SMG,13,4531951,3805,193,0.9772476598120484
SMG19_5-1,10h,SMG,19.5,4452975,3716,132.5,0.9602176629781647
SMG19_5-2,10h,SMG,19.5,6630800,3792,223.5,1.4298331519210448
SMG19_5-3,10h,SMG,19.5,5227847,3809,183,1.1273072561034834
SMG6_5-1,10h,SMG,6.5,4319303,3775,155,0.9313932892851577
SMG6_5-2,10h,SMG,6.5,4905216,3780,178,1.0577366915204107
SMG6_5-3,10h,SMG,6.5,4589181,3792,163.5,0.989588455988142
