SampleID,Condition,Dose,A,K,r,t0,lag_time,R2,converged,Dose_f
Ctrl-1,1g,0,0.0264,0.1096,1.046,5.2988,3.3868,0.9811,TRUE,0
Ctrl-2,1g,0,0.0247,0.1092,0.9483,5.5264,3.4175,0.9674,TRUE,0
Ctrl-3,1g,0,0.0249,0.1112,0.6973,5.9482,3.0802,0.9675,TRUE,0
Ctrl+SR6.5-1,1g,6.5,0.0236,0.1328,1.4226,4.4342,3.0283,0.9763,TRUE,6.5
Ctrl+SR6.5-2,1g,6.5,0.0253,0.1236,2.1115,4.2116,3.2644,0.9683,TRUE,6.5
Ctrl+SR6.5-3,1g,6.5,0.025,0.1239,1.7579,4.2832,3.1455,0.9609,TRUE,6.5
Ctrl+SR13-1,1g,13,0.0236,0.1408,1.5716,4.3404,3.0678,0.9895,TRUE,13
Ctrl+SR13-2,1g,13,0.0239,0.1381,1.7044,4.3146,3.1411,0.992,TRUE,13
Ctrl+SR13-3,1g,13,0.0244,0.1383,1.5402,4.2664,2.9678,0.9921,TRUE,13
Ctrl+SR19.5-1,1g,19.5,0.0212,0.1373,1.1761,4.9341,3.2336,0.9821,TRUE,19.5
Ctrl+SR19.5-2,1g,19.5,0.0243,0.138,1.123,4.8394,3.0584,0.98,TRUE,19.5
Ctrl+SR19.5-3,1g,19.5,0.0226,0.1345,1.2305,4.6521,3.0267,0.9808,TRUE,19.5
SMG-1,SMG,0,0.0255,0.1435,0.8796,5.4109,3.1372,0.9858,TRUE,0
SMG-2,SMG,0,0.0227,0.1426,1.0246,5.5852,3.6332,0.9877,TRUE,0
SMG-3,SMG,0,0.024,0.1434,0.9057,5.6338,3.4254,0.987,TRUE,0
SMG+SR6.5-1,SMG,6.5,0.0225,0.131,1.3191,4.593,3.0768,0.9765,TRUE,6.5
SMG+SR6.5-2,SMG,6.5,0.0221,0.1352,1.2224,4.7312,3.0951,0.9799,TRUE,6.5
SMG+SR6.5-3,SMG,6.5,0.0226,0.1326,1.1834,4.679,2.989,0.9782,TRUE,6.5
SMG+SR13-1,SMG,13,0.0215,0.1376,1.4819,4.5183,3.1686,0.9928,TRUE,13
SMG+SR13-2,SMG,13,0.023,0.1365,1.3788,4.4684,3.0179,0.9914,TRUE,13
SMG+SR13-3,SMG,13,0.0233,0.1336,1.5581,4.4601,3.1766,0.9893,TRUE,13
SMG+SR19.5-1,SMG,19.5,0.0198,0.1271,1.3758,4.6261,3.1723,0.9922,TRUE,19.5
SMG+SR19.5-2,SMG,19.5,0.0216,0.1353,1.2695,4.9547,3.3793,0.9794,TRUE,19.5
SMG+SR19.5-3,SMG,19.5,0.0234,0.1373,0.9362,5.5147,3.3784,0.9673,TRUE,19.5
