timepoint,condition,dose_Gy,contrast,source_file,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00005,1838.46000838786,-1.52688606639791e-6,0.0014426783963494,0.661191342740524,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00010,1516.96988101181,-1.05862380463574e-6,0.0014426712190903,0.797255096865854,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00015,192.998166170645,1.65809799986535e-6,0.00144267242634537,0.686188286842192,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00020,2474.97798921326,4.61301926346922e-6,0.00144266715844197,0.335412093708085,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00025,522.927845309472,6.17946314584099e-6,0.00144267718321016,0.142900464224714,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00030,6683.90520635158,4.79509444717974e-6,0.0014426717863672,0.280923694250515,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00035,9293.80700056475,3.33451669771275e-6,0.00144267860782584,0.361632960194759,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00045,2.19246303207714,2.33099327636803e-7,0.00144269426595792,0.762109483407471,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00065,21.3340806856418,-1.28978370178615e-6,0.00144269245156742,0.37343061349719,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00070,4568.06528195921,6.26742265784995e-7,0.0014426842786909,0.826202747509782,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00075,1439.70820409311,2.09010560134698e-8,0.00144268141399514,0.997602259390868,0.998875337679648
