timepoint,condition,dose,contrast,path,pathway,k,n_sig,up_n,down_n,signed_sum,mean_lfc,score_norm
10 h,1g,6.5,1g_6.5,ko00030,Pentose phosphate pathway,3,3,0,3,-6.74270224088741,-2.247567413629137,-3.8929009538418393
10 h,1g,6.5,1g_6.5,ko00040,Pentose and glucuronate interconversions,2,2,0,2,-3.75325593977018,-1.87662796988509,-2.6539527265401825
10 h,1g,6.5,1g_6.5,ko00052,Galactose metabolism,1,1,0,1,-1.04106144652242,-1.04106144652242,-1.04106144652242
10 h,1g,6.5,1g_6.5,ko00061,Fatty acid biosynthesis,1,1,0,1,-1.07192124499022,-1.07192124499022,-1.07192124499022
10 h,1g,6.5,1g_6.5,ko00071,Fatty acid degradation,1,1,0,1,-1.44385389635848,-1.44385389635848,-1.44385389635848
10 h,1g,6.5,1g_6.5,ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,1,1,1,0,1.76700942698302,1.76700942698302,1.76700942698302
10 h,1g,6.5,1g_6.5,ko00330,Arginine and proline metabolism,1,1,0,1,-1.00424624017157,-1.00424624017157,-1.00424624017157
10 h,1g,6.5,1g_6.5,ko00332,Carbapenem biosynthesis,1,1,0,1,-1.00424624017157,-1.00424624017157,-1.00424624017157
10 h,1g,6.5,1g_6.5,ko00380,Tryptophan metabolism,3,3,0,3,-4.96598461034059,-1.6553282034468633,-2.8671125515716787
10 h,1g,6.5,1g_6.5,ko00480,Glutathione metabolism,1,1,0,1,-1.53416241450981,-1.53416241450981,-1.53416241450981
10 h,1g,6.5,1g_6.5,ko00500,Starch and sucrose metabolism,2,2,0,2,-2.24179882063875,-1.120899410319375,-1.5851911481296648
10 h,1g,6.5,1g_6.5,ko00520,Amino sugar and nucleotide sugar metabolism,1,1,0,1,-1.04106144652242,-1.04106144652242,-1.04106144652242
10 h,1g,6.5,1g_6.5,ko00564,Glycerophospholipid metabolism,1,1,0,1,-1.09714047416866,-1.09714047416866,-1.09714047416866
10 h,1g,6.5,1g_6.5,ko00620,Pyruvate metabolism,1,1,0,1,-2.16932626732067,-2.16932626732067,-2.16932626732067
10 h,1g,6.5,1g_6.5,ko00627,Aminobenzoate degradation,1,1,0,1,-1.44385389635848,-1.44385389635848,-1.44385389635848
10 h,1g,6.5,1g_6.5,ko00630,Glyoxylate and dicarboxylate metabolism,3,3,0,3,-5.71099378009285,-1.9036645933642833,-3.2972437962768857
10 h,1g,6.5,1g_6.5,ko00650,Butanoate metabolism,1,1,0,1,-1.65723162790278,-1.65723162790278,-1.65723162790278
