timepoint,condition,dose,contrast,n_tested,n_sig,n_up,n_down,mean_abs_lfc_sig,contrast_label
10 h,1g,6.5,1g_6.5,3721,168,29,139,1.6036273621092085,1 g + 6.5
10 h,1g,13,1g_13,3721,42,8,34,1.6156693412831373,1 g + 13
10 h,1g,19.5,1g_19.5,3721,91,13,78,1.436489256178552,1 g + 19.5
10 h,SMG,0,SMG_0,3664,120,40,80,1.8150975244327292,SMG + 0
10 h,SMG,6.5,SMG_6.5,3754,36,16,20,1.7131443282473577,SMG + 6.5
10 h,SMG,13,SMG_13,3754,66,11,55,1.4395757618039995,SMG + 13
10 h,SMG,19.5,SMG_19.5,3754,28,6,22,1.5853173510844554,SMG + 19.5
3 h,1g,6.5,1g_6.5,3753,4,1,3,1.731234539264235,1 g + 6.5
3 h,1g,13,1g_13,3753,0,0,0,NA,1 g + 13
3 h,1g,19.5,1g_19.5,3753,5,2,3,1.429039586279832,1 g + 19.5
3 h,SMG,0,SMG_0,3758,12,11,1,1.4554846214402617,SMG + 0
3 h,SMG,6.5,SMG_6.5,3769,13,1,12,1.774350874840937,SMG + 6.5
3 h,SMG,13,SMG_13,3769,77,5,72,1.4867670346304251,SMG + 13
3 h,SMG,19.5,SMG_19.5,3769,78,13,65,1.6105056826147026,SMG + 19.5
