gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS00930,1.1503797485248899,0.0081837811399785,K06349,kbaA; KinB signaling pathway activation protein,3 h,1g,19.5,1g_19.5
HC660_RS12980,-2.3869426161454,3.5343094400051e-4,NA,,3 h,1g,19.5,1g_19.5
HC660_RS13370,-1.39456288276793,0.0300405201248056,NA,,3 h,1g,19.5,1g_19.5
HC660_RS15090,-1.19934048308005,0.01337979325162,K25673,ytcQ; polygalacturonan/rhamnogalacturonan transport system substrate-binding protein,3 h,1g,19.5,1g_19.5
HC660_RS15970,1.01397220088089,0.00131999915469975,NA,,3 h,1g,19.5,1g_19.5
HC660_RS09920,1.3123158525067,0.00925230114663877,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],3 h,1g,6.5,1g_6.5
HC660_RS21105,-2.33197082849364,0.00604103590124735,NA,,3 h,1g,6.5,1g_6.5
HC660_RS12980,-1.90189288946903,0.00822917102976494,NA,,3 h,1g,6.5,1g_6.5
HC660_RS15090,-1.37875858658757,0.00604103590124735,K25673,ytcQ; polygalacturonan/rhamnogalacturonan transport system substrate-binding protein,3 h,1g,6.5,1g_6.5
HC660_RS03095,1.57790693089729,0.00427961601115873,NA,,3 h,SMG,0,SMG_0
HC660_RS04935,-2.04927575606618,0.0270946389063933,K03781,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",3 h,SMG,0,SMG_0
HC660_RS08815,1.40415776706585,0.0195244841823675,K02413,fliJ; flagellar protein FliJ,3 h,SMG,0,SMG_0
HC660_RS08845,1.68150995263883,0.00879905623708275,K02415,fliL; flagellar protein FliL,3 h,SMG,0,SMG_0
HC660_RS09425,1.40204923212723,0.0333727616278057,NA,,3 h,SMG,0,SMG_0
HC660_RS10095,1.27561255558086,0.0104137188005789,NA,,3 h,SMG,0,SMG_0
HC660_RS10430,1.23530795679994,0.0421899657194203,NA,,3 h,SMG,0,SMG_0
HC660_RS10855,1.17093303438059,0.0270946389063933,NA,,3 h,SMG,0,SMG_0
HC660_RS12920,1.19752544240841,0.0270946389063933,NA,,3 h,SMG,0,SMG_0
HC660_RS12990,1.26063085751507,0.00879905623708275,NA,,3 h,SMG,0,SMG_0
HC660_RS18350,1.51668490097549,0.0270946389063933,NA,,3 h,SMG,0,SMG_0
HC660_RS19975,1.6942210708274,0.0158178986683054,NA,,3 h,SMG,0,SMG_0
HC660_RS00560,-1.03700492127829,0.019495915619071,K03708,ctsR; transcriptional regulator of stress and heat shock response,3 h,SMG,13,SMG_13
HC660_RS01265,-2.28912918889527,0.0019030295176712,NA,,3 h,SMG,13,SMG_13
HC660_RS01325,-1.17479500314876,0.017408043454107,K01318,sspA; glutamyl endopeptidase [EC:3.4.21.19],3 h,SMG,13,SMG_13
HC660_RS01500,-1.39285247815004,0.0423318656184931,NA,,3 h,SMG,13,SMG_13
HC660_RS01585,1.02227134711005,0.0238113441447341,K09696,natB; sodium transport system permease protein,3 h,SMG,13,SMG_13
HC660_RS01630,-1.17751821198952,0.0108940783985216,NA,,3 h,SMG,13,SMG_13
HC660_RS01780,-1.17177363633038,0.025276839566234,K01916,nadE; NAD+ synthase [EC:6.3.1.5],3 h,SMG,13,SMG_13
HC660_RS02365,-1.42535178895911,0.0262712987190432,NA,,3 h,SMG,13,SMG_13
HC660_RS02385,-2.38270344066007,9.8203189466496e-4,NA,,3 h,SMG,13,SMG_13
HC660_RS02480,-1.87603092520996,0.017562424644288602,K06884,K06884; uncharacterized protein,3 h,SMG,13,SMG_13
HC660_RS02500,-1.15874429826065,0.0271055439111928,K07217,ydbD; manganese catalase [EC:1.11.1.6],3 h,SMG,13,SMG_13
HC660_RS02960,-1.28419768359981,0.020657571231586,NA,,3 h,SMG,13,SMG_13
HC660_RS21325,-1.46617199273492,0.0455326162758871,NA,,3 h,SMG,13,SMG_13
HC660_RS03250,-1.19220005362215,0.0297454190398243,NA,,3 h,SMG,13,SMG_13
HC660_RS04190,-1.8232979614586,0.0175231563770032,NA,,3 h,SMG,13,SMG_13
HC660_RS04645,-1.105588089698,0.0126119401930779,NA,,3 h,SMG,13,SMG_13
HC660_RS04660,-1.8510565275055,0.00700271903619088,NA,,3 h,SMG,13,SMG_13
HC660_RS04675,-1.20577855994356,0.00722703933192905,K25617,csbB; lipoteichoic acid polyisoprenyl-phosphate beta-N-acetylglucosaminyltransferase [EC:2.4.-.-],3 h,SMG,13,SMG_13
HC660_RS05080,1.18009339809156,0.00207509776812622,K03704,cspA; cold shock protein,3 h,SMG,13,SMG_13
HC660_RS05260,-1.34827278936929,0.0241717066563874,NA,,3 h,SMG,13,SMG_13
HC660_RS05385,-2.38744042136727,0.00336539058338449,NA,,3 h,SMG,13,SMG_13
HC660_RS05565,-1.2067830614758,0.00995450759032799,K02503,"HINT1_2, hinT, hit; histidine triad (HIT) family protein [EC:3.9.1.-]",3 h,SMG,13,SMG_13
HC660_RS07175,-1.12068628887381,0.0238113441447341,K01482,"DDAH, ddaH; dimethylargininase [EC:3.5.3.18]",3 h,SMG,13,SMG_13
HC660_RS07245,-2.40700070055702,0.00235290566475933,K04063,"osmC, ohr; lipoyl-dependent peroxiredoxin [EC:1.11.1.28]",3 h,SMG,13,SMG_13
HC660_RS07270,-1.19507001354581,0.0416816755141073,K13275,isp; major intracellular serine protease [EC:3.4.21.-],3 h,SMG,13,SMG_13
HC660_RS07315,1.15488056654009,0.017562424644288602,NA,,3 h,SMG,13,SMG_13
HC660_RS07570,-1.17314298430627,0.0108940783985216,NA,,3 h,SMG,13,SMG_13
HC660_RS08015,-1.93645614107349,0.017562424644288602,NA,,3 h,SMG,13,SMG_13
HC660_RS09940,-1.04674160723682,0.025276839566234,NA,,3 h,SMG,13,SMG_13
HC660_RS09955,-1.41739330294854,0.0494622268216634,NA,,3 h,SMG,13,SMG_13
HC660_RS09960,-1.61118624531616,0.0161903501515171,NA,,3 h,SMG,13,SMG_13
HC660_RS10365,-1.24249954865424,0.0455326162758871,NA,,3 h,SMG,13,SMG_13
HC660_RS10485,-1.07866197863844,0.0238113441447341,K19220,cwlS; peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-],3 h,SMG,13,SMG_13
HC660_RS11640,-1.1784149195812,0.0424560490167897,K06378,spoIIAA; stage II sporulation protein AA (anti-sigma F factor antagonist),3 h,SMG,13,SMG_13
HC660_RS21095,-2.13610318617681,0.00247054072928981,NA,,3 h,SMG,13,SMG_13
HC660_RS12315,-1.67500395634399,0.017562424644288602,NA,,3 h,SMG,13,SMG_13
HC660_RS12320,-2.19923914518781,9.8203189466496e-4,NA,,3 h,SMG,13,SMG_13
HC660_RS12325,-1.19058816858448,0.0327723312894848,K17763,rsbR; rsbT co-antagonist protein RsbR,3 h,SMG,13,SMG_13
HC660_RS12335,-2.01681790597542,0.00643708910042127,K16509,spxA; regulatory protein spx,3 h,SMG,13,SMG_13
