timepoint,condition,dose,contrast,contrast_label,n_sig,delta_mu_max,delta_lag,delta_AUC
10 h,1g,6.5,1g_6.5,1 g + 6.5,168,0.8667661862854507,-0.14875265275471294,0.18323888766666652
10 h,1g,13,1g_13,1 g + 13,42,0.7081575927668305,-0.2359112738091773,0.23503750008333324
10 h,1g,19.5,1g_19.5,1 g + 19.5,91,0.2792686976098876,-0.18859055792801804,0.17815555674999983
10 h,SMG,0,SMG_0,SMG + 0,120,0.03937577961793648,0.1037714744882634,0.13898055575
10 h,SMG,6.5,SMG_6.5,SMG + 6.5,36,0.3443830238806683,-0.24119444992935613,0.17422777058333305
10 h,SMG,13,SMG_13,SMG + 13,66,0.5756966684029371,-0.17381669706235225,0.20459861333333318
10 h,SMG,19.5,SMG_19.5,SMG + 19.5,28,0.2965951786110549,0.015187588856478307,0.14472638708333307
3 h,1g,6.5,1g_6.5,1 g + 6.5,4,0.8667661862854507,-0.14875265275471294,0.18323888766666652
3 h,1g,13,1g_13,1 g + 13,0,0.7081575927668305,-0.2359112738091773,0.23503750008333324
3 h,1g,19.5,1g_19.5,1 g + 19.5,5,0.2792686976098876,-0.18859055792801804,0.17815555674999983
3 h,SMG,0,SMG_0,SMG + 0,12,0.03937577961793648,0.1037714744882634,0.13898055575
3 h,SMG,6.5,SMG_6.5,SMG + 6.5,13,0.3443830238806683,-0.24119444992935613,0.17422777058333305
3 h,SMG,13,SMG_13,SMG + 13,77,0.5756966684029371,-0.17381669706235225,0.20459861333333318
3 h,SMG,19.5,SMG_19.5,SMG + 19.5,78,0.2965951786110549,0.015187588856478307,0.14472638708333307
