gene_id,KEGG_orthology,functional_annotation,functional_category
HC660_RS00675,K00564,rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],Metabolism
HC660_RS00890,K06173,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]",Metabolism
HC660_RS01075,K07106,murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126],Metabolism
HC660_RS01625,K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47],Metabolism
HC660_RS01740,K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]",Metabolism
HC660_RS01780,K01916,nadE; NAD+ synthase [EC:6.3.1.5],Metabolism
HC660_RS01825,K00294,E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],Metabolism
HC660_RS01855,K21567,fnr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],Metabolism
HC660_RS01860,K13542,cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],Metabolism
HC660_RS01865,K26138,nasE; nitrite reductase [NAD(P)H] small subunit [EC:1.7.1.4],Metabolism
HC660_RS01870,K26139,"nasD, nasB; nitrite reductase [NAD(P)H] large subunit [EC:1.7.1.4]",Metabolism
HC660_RS02375,K09988,lyxA; D-lyxose ketol-isomerase [EC:5.3.1.15],Metabolism
HC660_RS02450,K00158,"spxB, poxL; pyruvate oxidase [EC:1.2.3.3]",Metabolism
HC660_RS04055,K14338,"cypD_E, CYP102A, CYP505; cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]",Metabolism
HC660_RS04195,K01728,pel; pectate lyase [EC:4.2.2.2],Metabolism
HC660_RS04435,K21416,"acoA; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]",Metabolism
HC660_RS04440,K21417,"acoB; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]",Metabolism
HC660_RS04450,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]",Metabolism
HC660_RS04455,K21405,"acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR",Metabolism
